Probe Set,System Code,ES2,ES6,ES8,ES10,ES avg,EB1,EB3,EB5,EB7,EB9,EB avg,log Fold EB vs ES,Fold EB vs ES,student t-test,rawp,adjp,,
1415743_at,X,5.769999981,5.960000038,5.71999979,5.78000021,5.800000191,6.5,6.769999981,6.110000134,6.360000134,6.110000134,6.369999886,0.560000002,1.480000019,0.007,0.007936508,0.960317433,,
1415779_s_at,X,14.30000019,14.27999973,14.22000027,14.18000031,14.23999977,14.10999966,14.22999954,14.17000008,14.28999996,14.31000042,14.22000027,-0.02,-1.00999999,0.686600029,0.658730149,1,,
1415800_at,X,12.34000015,12.39000034,12.14999962,12.05000019,12.22999954,11.64000034,11.64000034,11.69999981,11.72999954,11.57999992,11.65999985,-0.579999983,-1.49000001,1E-04,0.007936508,0.293650806,,
1415801_at,X,8.789999962,8.979999542,8.619999886,8.520000458,8.729999542,7.949999809,8,8.010000229,8.039999962,8.31000042,8.06000042,-0.660000026,-1.580000043,0.0006,0.007936508,0.579365075,,
1415806_at,X,5.849999905,6.150000095,7.199999809,6.510000229,6.429999828,9.050000191,8.979999542,8.930000305,9.159999847,9.239999771,9.069999695,2.640000105,6.25,0,0.007936508,0.119047619,,
1415830_at,X,9.550000191,9.630000114,9.409999847,9.130000114,9.430000305,8.479999542,8.579999924,8.390000343,8.369999886,8.130000114,8.390000343,-1.039999962,-2.059999943,1E-04,0.007936508,0.206349209,,
1415891_at,X,9.949999809,10.09000015,9.859999657,9.770000458,9.920000076,9.899999619,9.869999886,9.93999958,9.93999958,9.949999809,9.920000076,0,1,0.944000006,0.984126985,1,,
1415907_at,X,9.25,9.260000229,9.600000381,9.539999962,9.409999847,10.22000027,10.32999992,10.38000011,10.38000011,10.32999992,10.32999992,0.920000017,1.889999986,0,0.007936508,0.08730159,,
1415916_a_at,X,10.10000038,10.14999962,10.02999973,10.02000046,10.07999992,8.880000114,8.899999619,8.659999847,8.390000343,8.380000114,8.640000343,-1.440000057,-2.710000038,0,0.007936508,0.06349206,,
1415917_at,X,10.18999958,10.19999981,10.21000004,10.03999996,10.15999985,8.829999924,8.880000114,8.739999771,8.68999958,8.430000305,8.720000267,-1.440000057,-2.720000029,0,0.007936508,0.015873017,,
