Gene ID	System code	mRNA ratio	protein ratio
S000000684	D	-0.19	0.04
S000000111	D	-0.38	0.05
S000004295	D	-0.66	0.11
S000000050	D	-0.29	0.44
S000004143	D	-0.54	0
S000001855	D	-0.1	0.33
S000005164	D	0.45	0.24
S000004727	D	-0.04	0.16
S000005654	D	0.31	0.24
S000003436	D	-0.02	0.11
S000003203	D	0.07	0.85
S000005446	D	0.13	0.28
S000000778	D	-0.04	0.04
S000004099	D	0.09	0.66
S000005560	D	-0.1	-1.1
S000005862	D	0.22	0.27
S000005982	D	-0.41	-0.06
S000004551	D	-0.07	0.85
S000000490	D	-0.21	0.04
S000003073	D	0.01	0.34
S000000438	D	0.06	0.11
S000002534	D	-0.08	0.31
S000000453	D	-0.11	0.29
S000003170	D	-0.1	-0.07
S000004916	D	-0.07	0.47
S000000979	D	-0.11	0.1
S000004506	D	-0.07	0.14
S000004165	D	-0.04	0.46
S000002596	D	-0.05	0.12
S000000036	D	0.65	0.43
S000002284	D	0.24	-0.42
S000003098	D	0.01	-0.02
S000000141	D	-0.31	0.14
S000004028	D	-0.12	-0.14
S000003932	D	-0.32	-0.38
S000001093	D	-0.26	-0.1
S000004206	D	-0.07	0.28
S000004792	D	-0.07	0.32
S000003320	D	-0.1	0.18
S000004518	D	-0.03	0.27
S000001110	D	0.04	0.21
S000000282	D	-0.27	-0.05
S000001784	D	0.34	0.72
S000003168	D	-0.18	0.39
S000005949	D	0.06	-0.06
S000003703	D	-0.22	0.21
S000004467	D	-0.14	0.08
S000005542	D	-0.13	0.1
S000001152	D	0	1.4
