Ensembl Gene ID	Associated Gene Name
FBgn0031208	CG11023
FBgn0002121	l(2)gl
FBgn0031209	CG2657
FBgn0051973	CG31973
FBgn0067779	dbr
FBgn0031213	galectin
FBgn0031214	CG11374
FBgn0002931	net
FBgn0031216	CG11376
FBgn0031217	CG11377
FBgn0026787	Nhe1
FBgn0005278	M(2)21AB
FBgn0031219	CG13694
FBgn0031220	CG4822
FBgn0025683	CG3164
FBgn0001142	Gs1
FBgn0051976	CG31976
FBgn0051975	CG31975
FBgn0051974	CG31974
FBgn0031224	CG11454
FBgn0031225	CG4648
FBgn0031226	CG11620
FBgn0031227	CG3709
FBgn0031228	CG11455
FBgn0031229	CG3436
FBgn0053635	CG33635
FBgn0016977	spen
FBgn0031231	mRpL10
FBgn0031232	CG11617
FBgn0031233	CG11490
FBgn0086902	kis
FBgn0031235	CG13693
FBgn0022246	Rpp30
FBgn0031238	CG3645
FBgn0031239	CG17075
FBgn0031240	CG3345
FBgn0031242	CG11604
FBgn0086856	CG11555
FBgn0086855	CG17078
FBgn0003444	smo
FBgn0031244	CG11601
FBgn0031245	CG3625
FBgn0025686	CG11592
FBgn0031247	CG11562
FBgn0017457	U2af38
FBgn0024352	Hop
FBgn0020622	Pi3K21B
FBgn0004611	Plc21C
FBgn0031248	CG11912
FBgn0031249	CG11911
FBgn0053127	CG33127
FBgn0051920	CG31920
FBgn0045202	CG33992
FBgn0051921	CG31921
FBgn0031250	Ent1
FBgn0000061	al
FBgn0031251	CG4213
FBgn0003278	RpI135
FBgn0015567	alpha-Adaptin
FBgn0023444	ebi
FBgn0031252	CG13690
FBgn0002593	RpLP1
FBgn0031253	CG11885
FBgn0031254	CG13692
FBgn0031255	BBS8
FBgn0004583	ex
FBgn0015924	crq
FBgn0031256	CG4164
FBgn0031257	CG4133
FBgn0031258	CG4297
FBgn0027592	MED15
FBgn0043364	cbt
FBgn0003963	ush
FBgn0010602	lwr
FBgn0031260	Spp
FBgn0031261	nAcRbeta-21C
FBgn0005660	Ets21C
FBgn0031262	Oseg3
FBgn0031263	CG2789
FBgn0031264	CG11835
FBgn0031265	CG2794
FBgn0021874	Nle
