Ensembl Gene ID	Associated Gene Name
ENSECAG00000000001	XP_001493802.1
ENSECAG00000000002	XP_001488267.2
ENSECAG00000000003	XP_001916490.1
ENSECAG00000000004	XP_001488938.1
ENSECAG00000000005	XP_001490847.1
ENSECAG00000000006	XP_001495185.1
ENSECAG00000000007	XP_001915442.1
ENSECAG00000000008	RLA2_HORSE
ENSECAG00000000009	XP_001503211.1
ENSECAG00000000010	XP_001500584.2
ENSECAG00000000011	XP_001915660.1
ENSECAG00000000012	XP_001495714.2
ENSECAG00000000013	XP_001499024.2
ENSECAG00000000014	XP_001499048.2
ENSECAG00000000015	XP_001495667.1
ENSECAG00000000016	XP_001502947.1
ENSECAG00000000017	XP_001492750.2
ENSECAG00000000018	XP_001488377.1
ENSECAG00000000019	XP_001495273.2
ENSECAG00000000020	XP_001915290.1
ENSECAG00000000021	XP_001915355.1
ENSECAG00000000022	XP_001918209.1
ENSECAG00000000023	XP_001493811.2
ENSECAG00000000024	XP_001488629.1
ENSECAG00000000025	XP_001493830.2
ENSECAG00000000026	XG
ENSECAG00000000027	
ENSECAG00000000028	
ENSECAG00000000029	XP_001502673.1
ENSECAG00000000030	XP_001502472.1
ENSECAG00000000031	XP_001503968.2
ENSECAG00000000032	
ENSECAG00000000033	
ENSECAG00000000034	XP_001488699.1
ENSECAG00000000035	XP_001496011.2
ENSECAG00000000036	XP_001496208.1
ENSECAG00000000037	XP_001497717.2
ENSECAG00000000038	
ENSECAG00000000039	XP_001494106.2
ENSECAG00000000040	IKZF2
ENSECAG00000000041	XP_001489318.1
ENSECAG00000000042	XP_001488602.1
ENSECAG00000000043	XP_001488998.1
ENSECAG00000000044	
ENSECAG00000000045	
ENSECAG00000000046	XP_001503449.2
ENSECAG00000000047	XP_001493863.1
ENSECAG00000000048	XP_001490698.2
ENSECAG00000000049	
ENSECAG00000000050	XP_001491134.1
ENSECAG00000000051	B1AB80_HORSE
ENSECAG00000000052	XP_001495246.1
ENSECAG00000000053	XP_001493537.2
ENSECAG00000000054	CCL17
ENSECAG00000000055	
ENSECAG00000000056	XP_001504616.1
ENSECAG00000000057	XP_001492987.2
ENSECAG00000000058	Q6BD54_HORSE
ENSECAG00000000059	XP_001496272.1
ENSECAG00000000060	XP_001494224.1
ENSECAG00000000061	
ENSECAG00000000062	
ENSECAG00000000063	XP_001495869.2
ENSECAG00000000064	XP_001493068.2
ENSECAG00000000065	XP_001488020.2
ENSECAG00000000066	XP_001914791.1
ENSECAG00000000067	
ENSECAG00000000068	XP_001496510.1
ENSECAG00000000069	
ENSECAG00000000070	
ENSECAG00000000071	
ENSECAG00000000072	MAP7D2
ENSECAG00000000073	XP_001490871.2
ENSECAG00000000074	XP_001490188.1
ENSECAG00000000075	
ENSECAG00000000076	XP_001493324.2
ENSECAG00000000077	XP_001917452.1
ENSECAG00000000079	
ENSECAG00000000080	XP_001493974.2
ENSECAG00000000081	XP_001498178.1
ENSECAG00000000083	
ENSECAG00000000084	XP_001491209.2
ENSECAG00000000085	XP_001492894.2
ENSECAG00000000086	
ENSECAG00000000087	XP_001488171.1
ENSECAG00000000088	DUSP13
ENSECAG00000000089	
ENSECAG00000000090	XP_001494816.2
ENSECAG00000000091	XP_001503650.1
ENSECAG00000000092	NKX2-3
ENSECAG00000000093	XP_001500444.1
ENSECAG00000000094	XP_001493353.2
ENSECAG00000000095	AATC_HORSE
ENSECAG00000000096	XP_001914844.1
ENSECAG00000000097	XP_001914813.1
ENSECAG00000000098	
ENSECAG00000000099	XP_001915487.1
ENSECAG00000000100	
