Ensembl Gene ID	Associated Gene Name
ENSG00000208234	AC019043.8
ENSG00000199674	U6
ENSG00000221622	AL593851.6-2
ENSG00000207604	hsa-mir-206
ENSG00000207431	U6
ENSG00000221312	AL109922.9-3
ENSG00000223135	SRP_euk_arch
ENSG00000223136	7SK
ENSG00000200159	5S_rRNA
ENSG00000200131	7SK
ENSG00000206672	Y_RNA
ENSG00000212552	SNORD91
ENSG00000201452	U6
ENSG00000202016	U6
ENSG00000200455	U6
ENSG00000201916	Y_RNA
ENSG00000212228	SNORA48
ENSG00000202261	SNORD115
ENSG00000207742	hsa-mir-382
ENSG00000223137	SRP_euk_arch
ENSG00000212550	U1
ENSG00000223138	5S_rRNA
ENSG00000200827	U6
ENSG00000221638	U3
ENSG00000201937	SNORD115
ENSG00000212205	Y_RNA
ENSG00000221428	AC006150.2
ENSG00000202470	Y_RNA
ENSG00000200236	SSU_rRNA_5
ENSG00000223139	AC079922.5
ENSG00000207932	hsa-mir-33a
ENSG00000223140	SRP_euk_arch
ENSG00000221791	AC134878.3-3
ENSG00000199102	hsa-mir-302c
ENSG00000199960	SNORD115
ENSG00000208013	hsa-mir-652
ENSG00000223141	7SK
ENSG00000223142	7SK
ENSG00000221363	U6atac
ENSG00000213177	AL080285.6
ENSG00000216774	RP11-255N24.1
ENSG00000213194	AC016732.7-1
ENSG00000207492	U6
ENSG00000219252	RP11-255N24.4
ENSG00000222962	SRP_euk_arch
ENSG00000206963	U6
ENSG00000207934	hsa-mir-654
ENSG00000199814	U6
ENSG00000199796	U6
ENSG00000212450	U6
ENSG00000207603	hsa-mir-7-1
ENSG00000202474	5S_rRNA
ENSG00000206831	U1
ENSG00000207331	U6
ENSG00000221740	SNORD93
ENSG00000222963	SRP_euk_arch
ENSG00000201923	5S_rRNA
ENSG00000198928	AL596275.10
ENSG00000208225	AC092686.3-2
ENSG00000208227	AC092686.3-1
ENSG00000208243	AC004975.2-1
ENSG00000177117	AC011483.7
ENSG00000208245	AC004898.3
ENSG00000209219	AC004815.2
ENSG00000213184	AP003040.2-2
ENSG00000211401	AP003040.2-1
ENSG00000208228	AC092662.2-7
ENSG00000208229	AC092662.2-6
ENSG00000208233	AC092662.2-5
ENSG00000208235	AC092662.2-4
ENSG00000208236	AC092662.2-3
ENSG00000208237	AC092662.2-2
ENSG00000208239	AC092662.2-1
ENSG00000208240	AC079256.5-1
ENSG00000208241	AC010730.11-1
ENSG00000208385	AC092960.3-1
ENSG00000221779	AC025048.8
ENSG00000200714	Y_RNA
ENSG00000222709	SRP_euk_arch
ENSG00000207578	hsa-mir-583
ENSG00000207733	hsa-mir-637
ENSG00000222710	SRP_euk_arch
ENSG00000221729	AL590285.10
ENSG00000200942	U6
ENSG00000222711	SRP_euk_arch
ENSG00000207347	U6
ENSG00000202182	Y_RNA
ENSG00000211393	AP002762.4
ENSG00000198801	AL356968.41-1
ENSG00000217834	RP11-460C6.1
ENSG00000211380	AP001835.4-2
ENSG00000211374	AP001835.4-1
ENSG00000213197	AC012066.10
ENSG00000199910	5S_rRNA
ENSG00000221174	AL050327.6
ENSG00000202503	SNORD34
ENSG00000221242	AL365202.19-2
ENSG00000221231	AC068587.16-3
ENSG00000201725	U6
ENSG00000199476	Y_RNA
ENSG00000218492	HLA-H
ENSG00000208403	AC104641.11
ENSG00000204015	AL356289.6
ENSG00000168768	AL591803.10
ENSG00000221450	AL157884.9-2
ENSG00000213144	AC084880.12
ENSG00000185932	AP002959.2
ENSG00000220842	AC073587.6
ENSG00000209188	AC087885.17
ENSG00000217453	RP11-54O7.10
ENSG00000211181	AL158014.20-1
ENSG00000208242	AC009311.3
ENSG00000208414	AC007547.26-1
ENSG00000213183	AL355143.17-1
ENSG00000213201	AC018731.5
ENSG00000208244	AC093738.2
ENSG00000203335	AC006019.2
ENSG00000209248	AL034348.5
ENSG00000209311	AL078595.12-2
ENSG00000209149	AL078595.12-1
ENSG00000218198	AC105402.5
ENSG00000207574	hsa-mir-661
ENSG00000206728	Y_RNA
ENSG00000223082	AC121336.3-2
ENSG00000221742	CR392039.8-6
ENSG00000212604	SNORA48
ENSG00000223083	SRP_euk_arch
ENSG00000213158	AC134503.2
ENSG00000203634	AC007687.17-2
ENSG00000208246	AC092180.5-2
ENSG00000213187	AL138731.10
ENSG00000209206	AL589947.3-1
ENSG00000208247	AC104843.3-1
ENSG00000209300	AL132766.13-3
ENSG00000209286	AL132766.13-2
ENSG00000208446	AC007687.17-1
ENSG00000222973	U2
ENSG00000201088	Y_RNA
ENSG00000211563	hsa-mir-338
ENSG00000199458	U4
ENSG00000207198	U6
ENSG00000222974	7SK
ENSG00000207344	SNORA22
ENSG00000202231	SNORA9
ENSG00000211339	AP002956.1-3
ENSG00000211330	AP002956.1-2
ENSG00000203274	AL355987.31-2
ENSG00000197815	AP002956.1-1
ENSG00000218767	RP11-48L13.1
ENSG00000213165	AC090425.15-2
ENSG00000208447	AC090425.15-1
ENSG00000208251	AC013406.7-1
ENSG00000209295	AL121787.22-1
ENSG00000209195	AC009803.17-1
ENSG00000209253	AC026765.22
ENSG00000209153	AL353692.14-1
ENSG00000213212	AL355987.31-1
ENSG00000213188	AC006017.2-3
ENSG00000213777	AL122001.32-2
ENSG00000208255	AC013437.8-10
ENSG00000208256	AC013437.8-9
ENSG00000211425	AC090669.9
ENSG00000211165	AL355598.26-1
ENSG00000208258	AC013437.8-8
ENSG00000208259	AC013437.8-7
ENSG00000208254	AC006017.2-2
ENSG00000208265	AC013437.8-3
ENSG00000208257	AC006017.2-1
ENSG00000208266	AC013437.8-2
ENSG00000208270	AC013437.8-1
ENSG00000211126	AL157388.12
ENSG00000178029	AL356865.19-2
ENSG00000211119	AC005879.3
ENSG00000208460	AC117456.6-1
ENSG00000208276	AC092156.2-10
ENSG00000208279	AC092156.2-9
ENSG00000208280	AC092156.2-8
ENSG00000208281	AC092156.2-7
ENSG00000208284	AC092156.2-5
ENSG00000208285	AC092156.2-4
ENSG00000208286	AC092156.2-3
ENSG00000208287	AC092156.2-2
ENSG00000208291	AC078851.4-1
ENSG00000203635	AC026355.13-1
ENSG00000207274	SNORA70
ENSG00000208500	AC119040.5
ENSG00000222768	U2
ENSG00000199528	5S_rRNA
ENSG00000222769	SRP_euk_arch
ENSG00000199373	5S_rRNA
ENSG00000221179	AC016670.7
ENSG00000181399	AC097523.4
ENSG00000213169	AC069218.13
ENSG00000203275	AL590226.23-1
ENSG00000188309	AC016825.12
ENSG00000209274	AL121833.10
ENSG00000208518	AC007919.18
ENSG00000197300	RPL23AP64
ENSG00000211315	AP003392.2-2
ENSG00000211279	AP004609.1-3
ENSG00000211276	AP004609.1-2
ENSG00000205433	AC011328.11
ENSG00000203279	AC022542.5
ENSG00000211435	AL138919.12-1
ENSG00000211421	AL133211.9
ENSG00000208537	AC117476.6-1
ENSG00000213174	AC026316.16
ENSG00000217213	RP11-373A6.1
ENSG00000202252	SNORD14
ENSG00000199231	snoU2_19
ENSG00000223037	U6
ENSG00000223038	U4
ENSG00000221026	AL592063.10
ENSG00000221548	hsa-mir-1283-2
ENSG00000212490	SNORA26
ENSG00000202027	Y_RNA
ENSG00000221343	AC010422.7-4
ENSG00000206988	U6
ENSG00000202293	SNORD113
ENSG00000213222	AC093724.3
ENSG00000184531	AC007849.24-1
ENSG00000213178	AC074033.18
ENSG00000173284	AC073869.5-19
ENSG00000208349	AC073869.5-17
ENSG00000208350	AC073869.5-16
ENSG00000208360	AC073869.5-11
ENSG00000208361	AC073869.5-10
ENSG00000208365	AC073869.5-8
ENSG00000208369	AC073869.5-7
ENSG00000208372	AC073869.5-4
ENSG00000208374	AC073869.5-3
ENSG00000179843	AC073869.5-2
ENSG00000209022	AL133384.12-1
ENSG00000211409	AL138827.16
ENSG00000211405	AL391417.7-1
ENSG00000177590	AC006479.2
ENSG00000202129	Y_RNA
ENSG00000208308	SNORA40
ENSG00000201155	U1
ENSG00000222530	SRP_euk_arch
ENSG00000200817	U6
ENSG00000222531	SRP_euk_arch
ENSG00000222532	hsa-mir-1468
ENSG00000221437	AC068058.12
ENSG00000222533	U6
ENSG00000202247	Y_RNA
ENSG00000201318	SNORD113
ENSG00000200832	SNORD113
ENSG00000206869	SNORA70
ENSG00000201690	Y_RNA
ENSG00000202538	U4
ENSG00000206964	Y_RNA
ENSG00000222534	AC005215.2
ENSG00000202343	SNORA2
ENSG00000207790	hsa-mir-29b-2
ENSG00000213205	AC092025.3
ENSG00000204443	AC140481.3
ENSG00000204445	AC013269.10-1
ENSG00000208274	AC004932.4-1
ENSG00000213156	AC137055.12
ENSG00000208277	AC004941.2-2
ENSG00000208278	AC004941.2-1
ENSG00000213227	AC005856.1
ENSG00000211066	AC015876.10
ENSG00000211058	AC079005.9-2
ENSG00000208391	AC068137.8-14
ENSG00000208396	AC068137.8-13
ENSG00000208397	AC068137.8-12
ENSG00000208417	AC068137.8-5
ENSG00000208420	AC068137.8-2
ENSG00000208422	AC068137.8-1
ENSG00000185790	AC128686.7
ENSG00000208599	AC072046.11
ENSG00000213225	AC018804.9
ENSG00000208609	AC104629.10-3
ENSG00000208613	AC104629.10-2
ENSG00000213228	AC037475.9
ENSG00000211087	AC022023.7
ENSG00000219585	RP11-39K24.2
ENSG00000220099	RP11-32I2.1
ENSG00000211027	AC104763.12-1
ENSG00000208292	AC073140.5-1
ENSG00000208293	AC006323.3
ENSG00000213211	KRT18P30
ENSG00000208423	AC018865.4-1
ENSG00000208625	AC112491.4-1
ENSG00000213210	AC005229.2-1
ENSG00000208301	AC079405.4-1
ENSG00000210472	AL136380.22
ENSG00000221139	SNORD23
ENSG00000207312	U6
ENSG00000222429	U6
ENSG00000199402	5S_rRNA
ENSG00000211558	AL672032.6-1
ENSG00000206933	Y_RNA
ENSG00000206908	U1
ENSG00000207481	Y_RNA
ENSG00000208626	AC069224.16-1
ENSG00000200792	SNORA42
ENSG00000200097	U6
ENSG00000223297	AC116154.2
ENSG00000223298	Y_RNA
ENSG00000207472	U6
ENSG00000223299	7SK
ENSG00000201666	SNORD74
