Ensembl Gene ID	Associated Gene Name
ENSPTRG00000032649	NKG2F_PANTR
ENSPTRG00000002427	ANKRD30B
ENSPTRG00000005416	SVOP
ENSPTRG00000034555	GALNT9
ENSPTRG00000004778	RASSF8
ENSPTRG00000023368	XR_022171.1
ENSPTRG00000009900	
ENSPTRG00000033674	WDR44
ENSPTRG00000034259	
ENSPTRG00000034567	
ENSPTRG00000034067	
ENSPTRG00000031470	LSM4
ENSPTRG00000029327	
ENSPTRG00000019222	ZNF254
ENSPTRG00000029325	
ENSPTRG00000033849	
ENSPTRG00000033931	ARHGAP4
ENSPTRG00000010888	Q9N238_PANTR
ENSPTRG00000022340	NP_001009154.1
ENSPTRG00000010964	PAF1
ENSPTRG00000021631	ARSF
ENSPTRG00000011272	
ENSPTRG00000029323	MXRA5
ENSPTRG00000034230	
ENSPTRG00000021867	SUV39H1
ENSPTRG00000031468	KLK7
ENSPTRG00000029319	XR_020592.1
ENSPTRG00000028884	
ENSPTRG00000011501	FAM71E2
ENSPTRG00000011541	
ENSPTRG00000029318	
ENSPTRG00000011602	
ENSPTRG00000010384	
ENSPTRG00000031467	
ENSPTRG00000031466	
ENSPTRG00000034205	
ENSPTRG00000028403	
ENSPTRG00000012203	
ENSPTRG00000004900	TUBA3C
ENSPTRG00000033757	
ENSPTRG00000028857	
ENSPTRG00000015765	MUC20
ENSPTRG00000012468	FAM128A
ENSPTRG00000014690	
ENSPTRG00000014800	HHATL
ENSPTRG00000012301	IL1RL1
ENSPTRG00000012341	
ENSPTRG00000012324	
ENSPTRG00000033823	
ENSPTRG00000022892	
ENSPTRG00000031326	GGTLC2
ENSPTRG00000012248	
ENSPTRG00000031325	
ENSPTRG00000014113	
ENSPTRG00000028953	
ENSPTRG00000028951	C20orf191
ENSPTRG00000023122	NP_001029271.1
ENSPTRG00000007519	
ENSPTRG00000033775	
ENSPTRG00000022860	
ENSPTRG00000006852	
ENSPTRG00000014131	ZNF280B
ENSPTRG00000014132	ZNF280A
ENSPTRG00000014123	PRAME
ENSPTRG00000006854	MTMR15
ENSPTRG00000028384	
ENSPTRG00000033704	
ENSPTRG00000006858	MTMR10
ENSPTRG00000034517	
ENSPTRG00000014160	
ENSPTRG00000019959	
