Ensembl Gene ID	Associated Gene Name
ENSBTAG00000039669	Q6V947_BOVIN
ENSBTAG00000035493	
ENSBTAG00000025314	NP_001033289.1
ENSBTAG00000001560	XR_028731.2
ENSBTAG00000040370	A9Z1I3_BOVIN
ENSBTAG00000039399	Q6V950_BOVIN
ENSBTAG00000037668	IPI00842810.2
ENSBTAG00000035525	
ENSBTAG00000036997	U1
ENSBTAG00000035897	IPI00839186.2
ENSBTAG00000039750	Q6V947_BOVIN
ENSBTAG00000038360	IPI00824969.1
ENSBTAG00000035827	NP_001077264.1
ENSBTAG00000013467	IPI00826824.2
ENSBTAG00000034404	NP_001069071.1
ENSBTAG00000034402	IPI00907470.1
ENSBTAG00000000377	IPI00710943.2
ENSBTAG00000001943	
ENSBTAG00000036290	IPI00906713.1
ENSBTAG00000001185	SUV41_BOVIN
ENSBTAG00000004392	NP_001068856.1
ENSBTAG00000011830	
ENSBTAG00000038363	IPI00905125.1
ENSBTAG00000034209	IPI00905697.1
ENSBTAG00000039816	IPI00903636.1
ENSBTAG00000010440	IPI00708301.3
ENSBTAG00000037594	Q6V947_BOVIN
ENSBTAG00000003124	NM_001083662.1
ENSBTAG00000004944	IPI00692201.1
ENSBTAG00000025961	IPI00709898.3
ENSBTAG00000001081	Q3MHW8_BOVIN
ENSBTAG00000036618	U2
ENSBTAG00000022013	CBR4_BOVIN
ENSBTAG00000001508	SH3R1_BOVIN
ENSBTAG00000026915	IPI00693714.3
ENSBTAG00000020130	IPI00698842.1
ENSBTAG00000020132	CD027_BOVIN
ENSBTAG00000035293	NP_001071518.1
ENSBTAG00000019539	IPI00717461.1
ENSBTAG00000010326	AADAT_BOVIN
ENSBTAG00000035007	GALNTL6
ENSBTAG00000044144	GUCY1A2
ENSBTAG00000000986	USH1C_BOVIN
ENSBTAG00000032151	IPI00688837.4
ENSBTAG00000035070	5S_rRNA
ENSBTAG00000043840	U6
ENSBTAG00000043841	U4
ENSBTAG00000015101	HMGB2_BOVIN
ENSBTAG00000015578	IPI00687862.2
ENSBTAG00000012535	NP_001093840.1
ENSBTAG00000006715	FBX8_BOVIN
ENSBTAG00000020055	K1712_BOVIN
ENSBTAG00000025942	PGDH_BOVIN
ENSBTAG00000038306	Q52T71_BOVIN
ENSBTAG00000036678	5S_rRNA
ENSBTAG00000044046	IPI00912466.1
ENSBTAG00000044033	IPI00696956.3
ENSBTAG00000039288	
ENSBTAG00000012442	CATB_BOVIN
ENSBTAG00000012432	FDFT_BOVIN
ENSBTAG00000004769	NEIL2_BOVIN
ENSBTAG00000005425	Q95KV6_BOVIN
ENSBTAG00000005049	NP_001069436.1
ENSBTAG00000019066	F167A_BOVIN
ENSBTAG00000000011	TDH_BOVIN
ENSBTAG00000003726	NP_001094657.1
ENSBTAG00000005396	IPI00704356.3
ENSBTAG00000000500	NP_001029725.1
ENSBTAG00000034799	IPI00842806.1
ENSBTAG00000004134	CH074_BOVIN
ENSBTAG00000020155	IPI00700235.3
ENSBTAG00000034665	IPI00703271.3
ENSBTAG00000034797	IPI00905440.1
ENSBTAG00000038291	IPI00908168.1
ENSBTAG00000040038	IPI00906933.2
ENSBTAG00000021632	MSRA
ENSBTAG00000009692	IPI00904441.1
ENSBTAG00000017232	KIF13B
ENSBTAG00000010819	IPI00825365.2
ENSBTAG00000008845	INT9_BOVIN
ENSBTAG00000008844	EXTL3
ENSBTAG00000036355	
ENSBTAG00000043899	U2
ENSBTAG00000036446	
ENSBTAG00000028556	U1
ENSBTAG00000010999	IL17RD
ENSBTAG00000044080	IPI00714067.2
ENSBTAG00000043970	IPI00700003.2
ENSBTAG00000034626	NP_001071587.1
ENSBTAG00000000536	IPI00689208.3
ENSBTAG00000000534	PNOC_BOVIN
ENSBTAG00000039429	IPI00841735.2
ENSBTAG00000002730	ELP3_BOVIN
ENSBTAG00000011321	IPI00697439.4
ENSBTAG00000019636	NP_001095969.1
ENSBTAG00000021069	NP_001095648.1
ENSBTAG00000006551	NP_001094652.1
ENSBTAG00000006547	CCD25_BOVIN
ENSBTAG00000007657	IPI00692736.2
ENSBTAG00000034560	
ENSBTAG00000005574	CLUS_BOVIN
ENSBTAG00000013974	TM215_BOVIN
ENSBTAG00000005907	NDUB6_BOVIN
ENSBTAG00000005905	IPI00904785.1
ENSBTAG00000011447	XR_042871.1
ENSBTAG00000038316	IPI00905964.1
ENSBTAG00000000555	ACOC_BOVIN
ENSBTAG00000033714	IPI00905017.1
ENSBTAG00000018340	
ENSBTAG00000016070	
ENSBTAG00000010059	NP_001096558.1
ENSBTAG00000000804	MOL2B_BOVIN
ENSBTAG00000006853	IPI00692986.5
ENSBTAG00000034391	LOC615968
ENSBTAG00000020151	IPI00687563.3
ENSBTAG00000020148	TIE2_BOVIN
ENSBTAG00000019568	A7E3B8_BOVIN
ENSBTAG00000013011	NP_001098805.1
ENSBTAG00000034471	IPI00700161.3
ENSBTAG00000001223	CI082_BOVIN
ENSBTAG00000008551	IPI00718556.1
ENSBTAG00000023412	CI134_BOVIN
ENSBTAG00000001315	IPI00906685.1
ENSBTAG00000013804	
ENSBTAG00000026019	
ENSBTAG00000016412	CDN2B_BOVIN
ENSBTAG00000034220	IPI00685402.3
ENSBTAG00000025929	
ENSBTAG00000039069	IPI00714695.2
ENSBTAG00000034282	IFNT3_BOVIN
ENSBTAG00000034285	IFNT1_BOVIN
ENSBTAG00000034289	IFNT3_BOVIN
ENSBTAG00000038788	IFNAC_BOVIN
ENSBTAG00000034294	XR_042793.1
ENSBTAG00000034309	IPI00842417.2
ENSBTAG00000037396	
ENSBTAG00000040540	
ENSBTAG00000025928	IFNAG_BOVIN
ENSBTAG00000012375	KLHL9_BOVIN
ENSBTAG00000034318	IPI00700115.5
ENSBTAG00000034320	XR_042793.1
ENSBTAG00000038954	IFNW1_BOVIN
ENSBTAG00000034324	IFNAD_BOVIN
ENSBTAG00000038012	IPI00824916.2
ENSBTAG00000034321	IPI00711716.3
ENSBTAG00000034325	IFNAF_BOVIN
ENSBTAG00000040095	
ENSBTAG00000034326	IPI00698322.1
ENSBTAG00000038695	
ENSBTAG00000017916	
ENSBTAG00000022787	
ENSBTAG00000022303	NP_001026935.1
ENSBTAG00000038282	IFNAA_BOVIN
ENSBTAG00000039675	XR_027579.2
ENSBTAG00000022679	
ENSBTAG00000033729	IPI00700989.1
ENSBTAG00000039963	IPI00690184.3
ENSBTAG00000039525	XR_027820.2
ENSBTAG00000038458	
ENSBTAG00000038741	IPI00697298.3
ENSBTAG00000040407	IFNAH_BOVIN
ENSBTAG00000037487	
ENSBTAG00000039648	XR_042783.1
