Ensembl Gene ID	Associated Gene Name
ENSCAFG00000025620	
ENSCAFG00000007345	ANKRD33
ENSCAFG00000007600	SCN8A
ENSCAFG00000025618	
ENSCAFG00000025617	
ENSCAFG00000005314	TMEM125
ENSCAFG00000006347	NEUROD4
ENSCAFG00000006349	KIAA0748
ENSCAFG00000006413	NCKAP1L
ENSCAFG00000006463	
ENSCAFG00000006465	GTSF1
ENSCAFG00000006555	PRKDC_CANFA
ENSCAFG00000007159	
ENSCAFG00000007939	
ENSCAFG00000006491	ITGA5
ENSCAFG00000009652	TWF1
ENSCAFG00000007942	
ENSCAFG00000014243	
ENSCAFG00000008661	
ENSCAFG00000007975	TERF1
ENSCAFG00000001185	
ENSCAFG00000008727	PSKH2
ENSCAFG00000008749	ATP6V0D2
ENSCAFG00000006514	GPR84
ENSCAFG00000006536	COPZ1
ENSCAFG00000009700	IRAK4
ENSCAFG00000008004	C8orf84
ENSCAFG00000006572	NFE2
ENSCAFG00000006580	
ENSCAFG00000008012	
ENSCAFG00000008021	
ENSCAFG00000006593	CBX5
ENSCAFG00000005998	LHFP
ENSCAFG00000025601	
ENSCAFG00000006603	SMUG1
ENSCAFG00000005999	NHLRC3
ENSCAFG00000021920	5S_rRNA
ENSCAFG00000008031	RDH10
ENSCAFG00000006611	HOXC4
ENSCAFG00000025600	
ENSCAFG00000008077	STAU2
ENSCAFG00000006618	HOXC5
ENSCAFG00000008784	WWP1
ENSCAFG00000006622	HOXC6
ENSCAFG00000006626	HOXC8
ENSCAFG00000006636	HOXC10
ENSCAFG00000008679	LMBR1L
ENSCAFG00000007056	CSGALNACT2
ENSCAFG00000006619	DRGX
ENSCAFG00000025599	HOXC11
ENSCAFG00000008119	UBE2W
ENSCAFG00000004092	MTMR2
ENSCAFG00000006691	SLC46A3
ENSCAFG00000014969	
ENSCAFG00000025598	HUS1
ENSCAFG00000004247	
ENSCAFG00000025596	KLRK1
ENSCAFG00000006645	HOXC12
ENSCAFG00000006705	
ENSCAFG00000008135	
ENSCAFG00000006701	Q9N0N1_CANFA
ENSCAFG00000006255	NBEA
ENSCAFG00000025595	
ENSCAFG00000006699	CALCOCO1
ENSCAFG00000009729	PUS7L
ENSCAFG00000023942	
ENSCAFG00000013198	KIAA1467
ENSCAFG00000007190	RLBP1L1
ENSCAFG00000008446	
ENSCAFG00000004194	
ENSCAFG00000003617	AMPH
ENSCAFG00000025633	
ENSCAFG00000023974	
ENSCAFG00000003144	RAMP3
ENSCAFG00000023984	
ENSCAFG00000006001	C13orf23
ENSCAFG00000007934	CTSB
ENSCAFG00000020616	
ENSCAFG00000026224	5S_rRNA
ENSCAFG00000026537	
ENSCAFG00000007803	GALNTL6
ENSCAFG00000015173	
ENSCAFG00000007231	N6AMT2
ENSCAFG00000006726	ATF7
ENSCAFG00000025589	
ENSCAFG00000016278	
ENSCAFG00000025587	
ENSCAFG00000007250	IFT88
ENSCAFG00000007197	NP_001003196.1
ENSCAFG00000016289	
ENSCAFG00000014734	PKD1L1
ENSCAFG00000004494	CCDC83
ENSCAFG00000008152	TCEB1
ENSCAFG00000009744	ADAMTS20
ENSCAFG00000006874	TARBP2
ENSCAFG00000013802	
ENSCAFG00000008157	TMEM70
ENSCAFG00000008170	JPH1
ENSCAFG00000009408	CCNE2
ENSCAFG00000004857	
ENSCAFG00000014655	GBB3_CANFA
ENSCAFG00000008697	RHEBL1
ENSCAFG00000014412	LPCAT3
ENSCAFG00000009114	SLC25A37
ENSCAFG00000006918	MAP3K12
ENSCAFG00000025583	
ENSCAFG00000005788	C11orf59
ENSCAFG00000005162	
ENSCAFG00000008178	GDAP1
ENSCAFG00000005481	DSTN
ENSCAFG00000007711	Q70ZB9_CANFA
ENSCAFG00000011458	LRMP
ENSCAFG00000009130	MMS19
ENSCAFG00000025582	
ENSCAFG00000025581	
ENSCAFG00000010195	FBXO25
ENSCAFG00000007728	Q9GK56_CANFA
ENSCAFG00000006624	ERCC6
ENSCAFG00000003660	C7orf34
ENSCAFG00000008193	PI15
ENSCAFG00000003670	TRPV5
ENSCAFG00000007203	GGH
ENSCAFG00000014107	
ENSCAFG00000003373	DGKI
ENSCAFG00000008454	CCNJ
ENSCAFG00000007910	Q64F95_CANFA
ENSCAFG00000005603	ISM1
ENSCAFG00000004348	
ENSCAFG00000004125	MLL5
ENSCAFG00000008247	
ENSCAFG00000005607	SPTLC3
ENSCAFG00000025580	
ENSCAFG00000007615	
ENSCAFG00000006821	
ENSCAFG00000006523	LRRC56
ENSCAFG00000006455	PSMD13
ENSCAFG00000008246	CRISPLD1
ENSCAFG00000008144	
ENSCAFG00000008715	STMN4
ENSCAFG00000008153	
ENSCAFG00000012705	
ENSCAFG00000011965	
ENSCAFG00000007758	GALNT6
ENSCAFG00000004387	RAB38
ENSCAFG00000007713	
ENSCAFG00000010984	VTI1A
ENSCAFG00000025579	
ENSCAFG00000006012	STOML3
ENSCAFG00000004393	TMEM135
ENSCAFG00000004233	
ENSCAFG00000009078	RUNX1T1
ENSCAFG00000009561	DNMBP
ENSCAFG00000015743	
ENSCAFG00000010089	FAM173B
ENSCAFG00000003177	AGBL3
ENSCAFG00000006019	FREM2
ENSCAFG00000004861	C11orf67
ENSCAFG00000007127	LMO2
ENSCAFG00000013664	C15orf43
ENSCAFG00000006934	AMHR2
ENSCAFG00000006089	SMOX
ENSCAFG00000006740	OLFML1
ENSCAFG00000006402	CCKBR
ENSCAFG00000010795	Q70Z86_CANFA
ENSCAFG00000025578	UBE2NL
ENSCAFG00000011828	KLHL6
ENSCAFG00000009925	
ENSCAFG00000025577	PNLIPRP2
ENSCAFG00000015428	PRMT8
ENSCAFG00000022449	U1
ENSCAFG00000027350	U6
ENSCAFG00000015874	ERC1
ENSCAFG00000009349	PEX16
ENSCAFG00000007053	NP_001003072.1
ENSCAFG00000008307	Q9BF00_CANFA
ENSCAFG00000012724	EPS8
ENSCAFG00000003454	
ENSCAFG00000003823	
ENSCAFG00000012556	HTRA1
ENSCAFG00000025576	
ENSCAFG00000012009	C10orf46
ENSCAFG00000004634	
ENSCAFG00000012743	O46389_CANFA
ENSCAFG00000009386	HPSE2
ENSCAFG00000009069	TMEM106C
ENSCAFG00000000268	PROP1_CANFA
ENSCAFG00000009707	HIF1AN
ENSCAFG00000003456	VSTM2A
ENSCAFG00000005168	FOXA2
ENSCAFG00000006209	HSPA12B
ENSCAFG00000007148	FBXO3
ENSCAFG00000012171	TIAL1
ENSCAFG00000007092	SCUBE2
ENSCAFG00000011487	BCAT1
ENSCAFG00000006950	SP1
ENSCAFG00000013209	HEBP1
ENSCAFG00000008151	
ENSCAFG00000006630	SLC18A3
ENSCAFG00000018550	
ENSCAFG00000004781	
ENSCAFG00000011455	
ENSCAFG00000009948	
ENSCAFG00000025575	
ENSCAFG00000025574	TSPAN4
ENSCAFG00000025573	
ENSCAFG00000009428	CNNM1
ENSCAFG00000006672	CHAT
ENSCAFG00000010901	
ENSCAFG00000025571	
ENSCAFG00000007016	
ENSCAFG00000007956	ROBO2
ENSCAFG00000006192	OR51J1
ENSCAFG00000013904	BCL6
ENSCAFG00000008158	OR4P4
ENSCAFG00000008285	HNF4G
ENSCAFG00000025570	
ENSCAFG00000006092	PPAPDC1B
ENSCAFG00000014138	SUNC1
ENSCAFG00000009037	OTOG
ENSCAFG00000005274	
ENSCAFG00000025568	
ENSCAFG00000025567	A2M
ENSCAFG00000001000	C8orf76
ENSCAFG00000000593	LMNB1
ENSCAFG00000025566	
ENSCAFG00000011295	PSMB5
ENSCAFG00000005485	BFSP1
ENSCAFG00000011618	RAD9A
ENSCAFG00000025565	TINF2
ENSCAFG00000010052	CATD_CANFA
ENSCAFG00000008314	ELP3
ENSCAFG00000010355	
ENSCAFG00000009667	NUDT18
ENSCAFG00000000262	
ENSCAFG00000001196	EIF2C2
ENSCAFG00000008852	DDB2
