GeneID	SystemCode	Label	Head	Remarks	MAPPName
LABEL		peroxisomal fatty acid oxidation			PPAR-Alpha_Targets.MAPP
1439675_at	X	Ppara			PPAR-Alpha_Targets.MAPP
1449051_at	X	Ppara			PPAR-Alpha_Targets.MAPP
1431012_a_at	X	Peci			PPAR-Alpha_Targets.MAPP
1420673_a_at	X	Acox2			PPAR-Alpha_Targets.MAPP
1448910_at	X	Pecr			PPAR-Alpha_Targets.MAPP
1439167_at	X	Pecr			PPAR-Alpha_Targets.MAPP
1460470_at	X	Acoxl			PPAR-Alpha_Targets.MAPP
1416409_at	X	Acox1			PPAR-Alpha_Targets.MAPP
1416408_at	X	Acox1			PPAR-Alpha_Targets.MAPP
1444518_at	X	Acox1			PPAR-Alpha_Targets.MAPP
1423495_at	X	Decr2			PPAR-Alpha_Targets.MAPP
1456737_x_at	X	Acaa1			PPAR-Alpha_Targets.MAPP
1416947_s_at	X	Acaa1			PPAR-Alpha_Targets.MAPP
1416946_a_at	X	Acaa1			PPAR-Alpha_Targets.MAPP
1456011_x_at	X	Acaa1			PPAR-Alpha_Targets.MAPP
1424451_at	X	Acaa1b			PPAR-Alpha_Targets.MAPP
1448491_at	X	Ech1			PPAR-Alpha_Targets.MAPP
1417449_at	X	Pte1			PPAR-Alpha_Targets.MAPP
1417449_at	X	PTE2			PPAR-Alpha_Targets.MAPP
1417449_at	X	Acot8			PPAR-Alpha_Targets.MAPP
1427070_at	X	Pte1			PPAR-Alpha_Targets.MAPP
1448382_at	X	Ehhadh			PPAR-Alpha_Targets.MAPP
1450966_at	X	Crot			PPAR-Alpha_Targets.MAPP
1440474_at	X	Crot			PPAR-Alpha_Targets.MAPP
1422925_s_at	X	Pte2a			PPAR-Alpha_Targets.MAPP
1422077_at	X	Pte2b			PPAR-Alpha_Targets.MAPP
1422076_at	X	Pte2b			PPAR-Alpha_Targets.MAPP
1422075_at	X	Pte2b			PPAR-Alpha_Targets.MAPP
1425257_at	X				PPAR-Alpha_Targets.MAPP
1443046_at	X	Abcd3			PPAR-Alpha_Targets.MAPP
1416679_at	X	Abcd3			PPAR-Alpha_Targets.MAPP
1457991_at	X	Abcd3			PPAR-Alpha_Targets.MAPP
1419748_at	X	Abcd2			PPAR-Alpha_Targets.MAPP
1438431_at	X	Abcd2			PPAR-Alpha_Targets.MAPP
1439835_x_at	X	Abcd2			PPAR-Alpha_Targets.MAPP
1456812_at	X	Abcd2			PPAR-Alpha_Targets.MAPP
1418838_at	X	Abcd1			PPAR-Alpha_Targets.MAPP
1417369_at	X	Hsd17b4			PPAR-Alpha_Targets.MAPP
1455777_x_at	X	Hsd17b4			PPAR-Alpha_Targets.MAPP
1426219_at	X	Scp2			PPAR-Alpha_Targets.MAPP
1419974_at	X	Scp2			PPAR-Alpha_Targets.MAPP
1419975_at	X	Scp2			PPAR-Alpha_Targets.MAPP
1449686_s_at	X	Scp2			PPAR-Alpha_Targets.MAPP
1420684_at	X	Acox3			PPAR-Alpha_Targets.MAPP
1437352_at	X	Acox3			PPAR-Alpha_Targets.MAPP
LABEL		mitochondrial fatty acid oxidation			PPAR-Alpha_Targets.MAPP
1425703_at	X	Ppard			PPAR-Alpha_Targets.MAPP
1439797_at	X	Ppard			PPAR-Alpha_Targets.MAPP
1460409_at	X	Cpt1a			PPAR-Alpha_Targets.MAPP
1438156_x_at	X	Cpt1a			PPAR-Alpha_Targets.MAPP
1434866_x_at	X	Cpt1a			PPAR-Alpha_Targets.MAPP
1418328_at	X	Cpt1b			PPAR-Alpha_Targets.MAPP
1447820_x_at	X	Cpt2			PPAR-Alpha_Targets.MAPP
1416772_at	X	Cpt2			PPAR-Alpha_Targets.MAPP
1423108_at	X	Slc25a20			PPAR-Alpha_Targets.MAPP
1423109_s_at	X	Slc25a20			PPAR-Alpha_Targets.MAPP
1438187_at	X	Slc25a29			PPAR-Alpha_Targets.MAPP
1450395_at	X	Slc22a5			PPAR-Alpha_Targets.MAPP
1421848_at	X	Slc22a5			PPAR-Alpha_Targets.MAPP
1440536_at	X	Slc22a5			PPAR-Alpha_Targets.MAPP
1448544_at	X	Crat			PPAR-Alpha_Targets.MAPP
1441919_x_at	X	Crat			PPAR-Alpha_Targets.MAPP
1417008_at	X	Crat			PPAR-Alpha_Targets.MAPP
1418321_at	X	Dci			PPAR-Alpha_Targets.MAPP
1419367_at	X	Decr1			PPAR-Alpha_Targets.MAPP
1449443_at	X	Decr1			PPAR-Alpha_Targets.MAPP
1429339_a_at	X	Acad10			PPAR-Alpha_Targets.MAPP
1444394_at	X	Acad10			PPAR-Alpha_Targets.MAPP
1447741_x_at	X	Acad10			PPAR-Alpha_Targets.MAPP
1453206_at	X	Acad9			PPAR-Alpha_Targets.MAPP
1419261_at	X	Acad8			PPAR-Alpha_Targets.MAPP
1419262_at	X	Acad8			PPAR-Alpha_Targets.MAPP
1424184_at	X	Acadvl			PPAR-Alpha_Targets.MAPP
1448987_at	X	Acadl			PPAR-Alpha_Targets.MAPP
1415984_at	X	Acadm			PPAR-Alpha_Targets.MAPP
1455446_x_at	X	Acadsb			PPAR-Alpha_Targets.MAPP
1460216_at	X	Acads			PPAR-Alpha_Targets.MAPP
1452173_at	X	Hadha			PPAR-Alpha_Targets.MAPP
1442732_at	X	Hadhb			PPAR-Alpha_Targets.MAPP
1426522_at	X	Hadhb			PPAR-Alpha_Targets.MAPP
1437172_x_at	X	Hadhb			PPAR-Alpha_Targets.MAPP
1438391_x_at	X	Hadh2			PPAR-Alpha_Targets.MAPP
1448286_at	X	Hadh2			PPAR-Alpha_Targets.MAPP
1455972_x_at	X	Hadhsc			PPAR-Alpha_Targets.MAPP
1460184_at	X	Hadhsc			PPAR-Alpha_Targets.MAPP
1428146_s_at	X	Acaa2			PPAR-Alpha_Targets.MAPP
1428145_s_at	X	Acaa2			PPAR-Alpha_Targets.MAPP
1455061_a_at	X	Acaa2			PPAR-Alpha_Targets.MAPP
1428145_at	X	Acaa2			PPAR-Alpha_Targets.MAPP
1418073_at	X	Mte2			PPAR-Alpha_Targets.MAPP
1449968_s_at	X	Mte2			PPAR-Alpha_Targets.MAPP
1422996_at	X	Mte1			PPAR-Alpha_Targets.MAPP
1422997_at	X	Mte1			PPAR-Alpha_Targets.MAPP
1439478_at	X	Mte1			PPAR-Alpha_Targets.MAPP
1451512_s_at	X	Hibch			PPAR-Alpha_Targets.MAPP
LABEL		ketone body synthesis			PPAR-Alpha_Targets.MAPP
1431833_a_at	X	Hmgcs2			PPAR-Alpha_Targets.MAPP
1423858_a_at	X	Hmgcs2			PPAR-Alpha_Targets.MAPP
1424639_a_at	X	Hmgcl			PPAR-Alpha_Targets.MAPP
1424182_at	X	Acat1			PPAR-Alpha_Targets.MAPP
1424183_at	X	Acat1			PPAR-Alpha_Targets.MAPP
1451271_a_at	X	Acat1			PPAR-Alpha_Targets.MAPP
LABEL		microsomal fatty acid oxidation			PPAR-Alpha_Targets.MAPP
1423257_at	X	Cyp4a14			PPAR-Alpha_Targets.MAPP
1424352_at	X	Cyp4a12			PPAR-Alpha_Targets.MAPP
1424943_at	X	Cyp4a10			PPAR-Alpha_Targets.MAPP
1440134_at	X	Cyp4a10			PPAR-Alpha_Targets.MAPP
1424853_s_at	X	Cyp4a10			PPAR-Alpha_Targets.MAPP
1415776_at	X	Aldh3a2			PPAR-Alpha_Targets.MAPP
LABEL		fatty acid binding proteins			PPAR-Alpha_Targets.MAPP
1448764_a_at	X	Fabp1			PPAR-Alpha_Targets.MAPP
1417556_at	X	Fabp1			PPAR-Alpha_Targets.MAPP
1418438_at	X	Fabp2			PPAR-Alpha_Targets.MAPP
1444844_at	X	Fabp3			PPAR-Alpha_Targets.MAPP
1416023_at	X	Fabp3			PPAR-Alpha_Targets.MAPP
1425809_at	X	Fabp4			PPAR-Alpha_Targets.MAPP
1417023_a_at	X	Fabp4			PPAR-Alpha_Targets.MAPP
1451263_a_at	X	Fabp4			PPAR-Alpha_Targets.MAPP
1424155_at	X	Fabp4			PPAR-Alpha_Targets.MAPP
1456290_x_at	X	Fabp5			PPAR-Alpha_Targets.MAPP
1416022_at	X	Fabp5			PPAR-Alpha_Targets.MAPP
1416021_a_at	X	Fabp5			PPAR-Alpha_Targets.MAPP
1450682_at	X	Fabp6			PPAR-Alpha_Targets.MAPP
1450779_at	X	Fabp7			PPAR-Alpha_Targets.MAPP
		Pmp2			PPAR-Alpha_Targets.MAPP
1421804_at	X	Fabp9			PPAR-Alpha_Targets.MAPP
1417076_at	X	Fabp9			PPAR-Alpha_Targets.MAPP
LABEL		lipogenesis			PPAR-Alpha_Targets.MAPP
1420715_a_at	X	Pparg			PPAR-Alpha_Targets.MAPP
1426690_a_at	X	Srebf1			PPAR-Alpha_Targets.MAPP
1417098_s_at	X	Mecr			PPAR-Alpha_Targets.MAPP
		TER			PPAR-Alpha_Targets.MAPP
1459530_at	X	KAR			PPAR-Alpha_Targets.MAPP
1450010_at	X	KAR			PPAR-Alpha_Targets.MAPP
1450011_at	X	KAR			PPAR-Alpha_Targets.MAPP
1441891_x_at	X	Elovl7			PPAR-Alpha_Targets.MAPP
1424098_at	X	Elovl7			PPAR-Alpha_Targets.MAPP
1440354_at	X	Elovl7			PPAR-Alpha_Targets.MAPP
1440312_at	X	Elovl7			PPAR-Alpha_Targets.MAPP
1424097_at	X	Elovl7			PPAR-Alpha_Targets.MAPP
1445578_at	X	Elovl6			PPAR-Alpha_Targets.MAPP
1417403_at	X	Elovl6			PPAR-Alpha_Targets.MAPP
1417404_at	X	Elovl6			PPAR-Alpha_Targets.MAPP
1445062_at	X	Elovl6			PPAR-Alpha_Targets.MAPP
1442656_at	X	Elovl6			PPAR-Alpha_Targets.MAPP
