genename	d4207w.CEL	d4208w.CEL	d4209w.CEL	d4210w.CEL	d4211w.CEL	d4212w.CEL	d4213w.CEL	d4214w.CEL	d4215w.CEL	d4216w.CEL	d4217w.CEL	d4218w.CEL	d4219w.CEL	d4220w.CEL	d4221w.CEL	d4222w.CEL	d4223w.CEL
A01157cds_s_at	2.182189467	2.24988435	2.158703847	2.169761287	2.345099496	2.25437285	2.255597124	2.250389461	2.308138434	2.283484529	2.324989558	2.296410627	2.309810997	2.389382728	2.334904886	2.209619059	2.30065831
A03913cds_s_at	3.962571657	3.670204809	3.963433705	3.369683894	3.996846695	3.440488242	3.525804432	3.416415839	3.527911828	3.951931434	3.637187275	3.317469395	3.586016966	3.437749553	3.41804977	3.377922819	3.963344927
A04674cds_s_at	2.316204606	2.390011993	2.301455878	2.298507606	2.456484422	2.405001405	2.407912032	2.392374784	2.444110044	2.425435392	2.444503036	2.445402283	2.429912479	2.496365709	2.458514885	2.332166388	2.475200952
A07543cds_s_at	1.711670649	1.775303167	1.694728502	1.694965196	1.837567696	1.775007796	1.771710995	1.768040187	1.824834037	1.802137714	1.839919212	1.824546951	1.809773674	1.864245886	1.847150892	1.745993394	1.820711076
A09811cds_s_at	9.061520472	8.385654762	8.537213111	8.494933111	9.603541103	9.383829817	7.880372604	7.26869441	9.08582693	8.787988567	7.741589282	8.8030117	8.037638138	6.395187622	5.984672908	7.267678431	7.488383868
A16585cds_s_at	2.486019756	2.513270697	2.423003022	2.477341807	2.586010128	2.530489335	2.659668316	2.540087701	2.575054054	2.552671923	2.570452824	2.567992346	2.588849631	2.6503571	2.630102848	2.470876612	2.55096565
A17753cds_s_at	2.129759582	2.218222757	2.131299547	2.118998498	2.367305194	2.242653655	2.245332795	2.227941908	2.274105859	2.254423526	2.287605702	2.263172561	2.26576118	2.357574972	2.301080664	2.171169361	2.247587048
A30543cds_s_at	3.010756052	3.110287724	2.936716016	2.958224211	3.345010636	3.118578828	3.14464237	3.114738093	3.17457552	3.151261851	3.204484283	3.159277616	3.211316383	3.326369517	3.233583828	3.011819674	3.148638947
A44407cds_at	2.826380417	2.92815745	2.817105459	2.83074785	3.583378887	2.911282333	3.105976639	2.982164126	2.973239677	2.935198612	3.020263359	2.955920037	2.989752378	3.095753852	3.090076802	2.882066812	2.95317193
AA108277_at	4.202182341	3.662101436	4.143766798	3.34465412	3.999984846	4.060047701	3.728782929	3.657930275	3.996094337	3.511669317	3.703746193	3.582024417	3.993656014	3.754975223	3.79543752	3.526754339	3.784232686
AA108308_i_at	0.911591248	0.988966127	0.920566323	0.910121732	1.01297926	0.970116532	0.956377304	0.955722042	1.006669009	0.98511726	1.001844119	1.008556306	0.981848006	1.017414582	1.019812785	0.932240911	1.003465403
AA108308_s_at	2.539452718	2.640618512	2.519487855	2.216276193	2.650649497	2.608908617	2.626399179	2.6228082	2.688486954	2.631061779	2.682408574	2.649573001	2.651590165	2.649960348	2.662124475	2.615470488	2.658213904
