Ensembl Gene ID	Associated Gene Name
AGAP000001	
AGAP000002	KIBRLG
AGAP000003	
AGAP000004	
AGAP000005	
AGAP000006	
AGAP000007	IGL1
AGAP000008	
AGAP000009	
AGAP000010	
AGAP000011	
AGAP000012	TTRNA1
AGAP000013	
AGAP000014	
AGAP000015	
AGAP000016	SCRB10
AGAP000017	
AGAP000018	
AGAP000019	
AGAP000020	
AGAP000021	
AGAP000022	
AGAP000023	
AGAP000024	
AGAP000025	
AGAP000026	
AGAP000027	
AGAP000028	
AGAP000029	
AGAP000030	
AGAP000031	
AGAP000032	
AGAP000033	
AGAP000034	
AGAP000035	
AGAP000036	
AGAP000037	Q95PB8_ANOGA
AGAP000038	Q5RLT9_ANOGA
AGAP000039	
AGAP000040	
AGAP000041	
AGAP000042	
AGAP000043	
AGAP000044	
AGAP000045	GPROAR1
AGAP000046	
AGAP000047	CPR130
AGAP000048	
AGAP000049	
AGAP000050	
AGAP000051	Q5UEA4_ANOGA
AGAP000052	
AGAP000053	
AGAP000054	
AGAP000055	
AGAP000056	
AGAP000057	
AGAP000058	
AGAP000059	
AGAP000060	
AGAP000061	
AGAP000062	
AGAP000063	
AGAP000064	
AGAP000065	
AGAP000066	
AGAP000067	
AGAP000068	NFI
AGAP000069	
AGAP000070	
AGAP000071	
AGAP000072	
AGAP000073	
AGAP000074	
AGAP000075	
AGAP000076	
AGAP000077	
AGAP000078	
AGAP000079	
AGAP000080	Q5XXR4_ANOGA
AGAP000081	
AGAP000082	
AGAP000083	
AGAP000084	Q8WR24_ANOGA
AGAP000085	CPR129
AGAP000086	
AGAP000087	
AGAP000088	Q8WQN1_ANOGA
AGAP000089	
AGAP000090	
AGAP000091	
AGAP000092	
AGAP000093	
AGAP000094	
AGAP000095	
AGAP000096	
AGAP000097	
AGAP000098	
AGAP000099	STAT2
AGAP000100	
AGAP000101	
AGAP000102	
AGAP000103	
AGAP000104	
AGAP000105	
AGAP000106	
AGAP000107	
AGAP000108	OEH
AGAP000109	
AGAP000110	
AGAP000111	
AGAP000112	
AGAP000113	
AGAP000114	
AGAP000115	GPRNPY4
AGAP000116	
AGAP000117	
AGAP000118	
AGAP000119	
AGAP000120	
AGAP000121	
AGAP000122	
AGAP000123	CTLSE2
AGAP000124	
AGAP000125	
AGAP000126	
AGAP000127	
AGAP000128	
AGAP000129	
AGAP000130	
AGAP000131	
AGAP000132	
AGAP000133	
AGAP000134	
AGAP000135	
AGAP000136	
AGAP000137	
AGAP000138	Q66T33_ANOGA
AGAP000139	
AGAP000140	
AGAP000141	
AGAP000142	
AGAP000143	
AGAP000144	
AGAP000145	
AGAP000146	
AGAP000147	
AGAP000148	
AGAP000149	
AGAP000150	Q9BIH5_ANOGA
AGAP000151	Q8WR23_ANOGA
AGAP000152	Q8WR25_ANOGA
AGAP000153	
AGAP000154	
AGAP000155	
AGAP000156	
AGAP000157	
AGAP000158	
AGAP000159	
AGAP000160	
AGAP000161	
AGAP000162	
AGAP000163	GSTMIC2
AGAP000164	
AGAP000165	GSTMIC1
AGAP000166	
AGAP000167	
AGAP000168	GPRFZ3
AGAP000169	
AGAP000170	
AGAP000171	
AGAP000172	
AGAP000173	
AGAP000174	
AGAP000175	
AGAP000176	
AGAP000177	CPR128
AGAP000178	
AGAP000179	
AGAP000180	
AGAP000181	
AGAP000182	
AGAP000183	
AGAP000184	
AGAP000185	
AGAP000186	
AGAP000187	
AGAP000188	
AGAP000189	
AGAP000190	
AGAP000191	
AGAP000192	
AGAP000193	Q5XM59_ANOGA
AGAP000194	Q8WQN4_ANOGA
AGAP000195	
AGAP000196	
AGAP000197	
AGAP000198	
AGAP000199	
AGAP000200	
AGAP000201	
AGAP000202	
AGAP000203	
AGAP000204	
AGAP000205	
AGAP000206	
AGAP000207	
AGAP000208	
AGAP000209	
AGAP000210	
AGAP000211	
AGAP000212	
AGAP000213	
AGAP000214	Q7KQ93_ANOGA
AGAP000215	
AGAP000216	
AGAP000217	
AGAP000218	
AGAP000219	
AGAP000220	
AGAP000221	
AGAP000222	
AGAP000223	
AGAP000224	
AGAP000225	
AGAP000226	GPROR41
AGAP000227	
AGAP000228	
AGAP000229	
AGAP000230	GPROR52
AGAP000231	
AGAP000232	
AGAP000233	
AGAP000234	
AGAP000235	
AGAP000236	
AGAP000237	
AGAP000238	
AGAP000239	
AGAP000240	
AGAP000241	
AGAP000242	
AGAP000243	
AGAP000244	
AGAP000245	
AGAP000246	
AGAP000247	
AGAP000248	
AGAP000249	
AGAP000250	
AGAP000251	
AGAP000252	
AGAP000253	
AGAP000254	
AGAP000255	
AGAP000256	
AGAP000257	
AGAP000258	
AGAP000259	
AGAP000260	
AGAP000261	
AGAP000262	
AGAP000263	
AGAP000264	
AGAP000265	
AGAP000266	
AGAP000267	
AGAP000268	
AGAP000269	
AGAP000270	
AGAP000271	
AGAP000272	
AGAP000273	
AGAP000274	
AGAP000275	
AGAP000276	
AGAP000277	
AGAP000278	OBP9
AGAP000279	OBP8
AGAP000280	
AGAP000281	
AGAP000282	
AGAP000283	
AGAP000284	Q5XNU4_ANOGA
AGAP000285	
AGAP000286	
AGAP000287	
AGAP000288	
AGAP000289	
AGAP000290	
AGAP000291	
AGAP000292	
AGAP000293	
AGAP000294	
AGAP000295	
AGAP000296	
AGAP000297	
AGAP000298	
AGAP000299	
AGAP000300	
AGAP000301	
AGAP000302	
AGAP000303	
AGAP000304	
AGAP000305	
AGAP000306	
AGAP000307	
AGAP000308	
AGAP000309	
AGAP000310	
AGAP000311	
AGAP000312	
AGAP000313	
AGAP000314	
AGAP000315	
AGAP000316	
AGAP000317	
AGAP000318	
AGAP000319	
AGAP000320	
AGAP000321	
AGAP000322	
AGAP000323	
AGAP000324	
AGAP000325	
AGAP000326	
AGAP000327	
AGAP000328	
AGAP000329	Q66T35_ANOGA
AGAP000330	
AGAP000331	
AGAP000332	
AGAP000333	
AGAP000334	
AGAP000335	
AGAP000336	
AGAP000337	
AGAP000338	
AGAP000339	
AGAP000340	
AGAP000341	GALE2
AGAP000342	Q6PUC9_ANOGA
AGAP000343	
AGAP000344	CPR127
AGAP000345	
AGAP000346	SPZ1
AGAP000347	CAPA
AGAP000348	
AGAP000349	
AGAP000350	
AGAP000351	GPRNPY1
AGAP000352	CPLC1
AGAP000353	
AGAP000354	
AGAP000355	
AGAP000356	
AGAP000357	
AGAP000358	
AGAP000359	
AGAP000360	
AGAP000361	
AGAP000362	
AGAP000363	
AGAP000364	
AGAP000365	
AGAP000366	
AGAP000367	
AGAP000368	
AGAP000369	GPRNNA10
AGAP000370	
AGAP000371	
AGAP000372	
AGAP000373	
AGAP000374	
AGAP000375	
AGAP000376	
AGAP000377	
AGAP000378	
AGAP000379	PBD3
AGAP000380	
AGAP000381	
AGAP000382	CPF4
AGAP000383	
AGAP000384	
AGAP000385	
AGAP000386	
AGAP000387	
AGAP000388	
AGAP000389	
AGAP000390	
AGAP000391	
AGAP000392	
AGAP000393	
AGAP000394	
AGAP000395	
AGAP000396	TPX1
AGAP000397	
AGAP000398	
AGAP000399	
AGAP000400	
AGAP000401	
AGAP000402	
AGAP000403	
AGAP000404	
AGAP000405	
AGAP000406	
AGAP000407	
