Ensembl Gene ID	Associated Gene Name
T24D1.1	sqv-5
F35C12.2	ncx-4
W04A8.1	W04A8.1
T05F1.7	T05F1.7
Y18D10A.5	gsk-3
W02A11.8	bath-35
C41G7.7	C41G7.7
F30F8.2	F30F8.2
ZK39.8	clec-99
Y34D9B.1	mig-1
F40E3.6	F40E3.6
Y53C10A.10	Y53C10A.10
W03D8.2	W03D8.2
C36B1.1	cle-1
C09D4.1	C09D4.1
B0207.4	air-2
K09H9.2	K09H9.2
Y20F4.3	Y20F4.3
F47G6.1	dyb-1
F36A2.12	F36A2.12
ZK1025.6	nhr-244
B0414.2	rnt-1
Y71F9AR.3	Y71F9AR.3
Y52B11A.3	Y52B11A.3
Y47H9C.6	csp-3
C43H8.1	C43H8.1
H16D19.1	clec-13
T27C10.8	T27C10.8
Y106G6A.5	Y106G6A.5
F55H12.3	F55H12.3
F55F8.5	tag-345
C26C6.9	C26C6.9
M01A12.1	col-53
Y65B4BL.6	Y65B4BL.6
C27A12.5	ceh-2
F53B6.8	fipr-26
F32B5.3	F32B5.3
Y23H5B.2	Y23H5B.2
T22H2.1	sri-12
F56H1.7	F56H1.7
Y39G10AR.11	Y39G10AR.11
F49B2.3	F49B2.3
F25H2.9	pas-5
ZK973.6	anc-1
Y105E8A.20	Y105E8A.20
ZC328.1	ZC328.1
W03F11.3	dct-9
Y71F9B.6	Y71F9B.6
ZK1151.1	vab-10
F55A3.3	F55A3.3
E03H4.4	E03H4.4
M04F3.3	M04F3.3
C50F2.5	C50F2.5
F36A2.10	F36A2.10
C04F1.3	lim-7
M01D7.1	M01D7.1
F36D1.9	F36D1.9
T26E3.2	ndx-1
ZK1225.2	ZK1225.2
F56G4.4	F56G4.4
D2005.3	D2005.3
T22C1.3	T22C1.3
W04C9.4	W04C9.4
C54G4.2	C54G4.2
Y51F10.3	Y51F10.3
H27M09.5	H27M09.5
F46F11.9	F46F11.9
Y54E5A.7	Y54E5A.7
F57C9.7	F57C9.7
Y106G6D.6	Y106G6D.6
C34G6.2	tyr-4
W10C8.5	W10C8.5
F36H2.3	F36H2.3
C04F12.9	rnh-1.3
Y71F9AL.9	Y71F9AL.9
C01H6.2	C01H6.2
W01A8.7	W01A8.7
T28B8.3	T28B8.3
F41D3.7	F41D3.7
F13G3.11	F13G3.11
F44F1.2	F44F1.2
T23B3.4	ckr-1
F12B6.3	lgc-51
B0205.9	B0205.9
C01F4.2	C01F4.2
K04G2.7	K04G2.7
T03F1.3	pgk-1
W05F2.7	W05F2.7
Y47G6A.32	Y47G6A.32
F45H11.2	ned-8
C37A5.8	fipr-24
T23G11.1	T23G11.1
Y106G6E.3	Y106G6E.3
Y73E7A.3	Y73E7A.3
F28H1.2	cpn-3
ZC308.1	gld-2
F33H2.2	F33H2.2
T04D3.5	T04D3.5
F52B5.5	cep-1
F35E2.1	F35E2.1
K04G2.3	cdc-48.3
W05H12.2	W05H12.2
ZK909.3	ZK909.3
F33D11.3	col-54
F02E9.3	F02E9.3
F14B6.3	F14B6.3
B0379.4	scpl-1
F32B5.2	F32B5.2
T08G11.1	T08G11.1
C46H11.4	lfe-2
Y110A7A.9	Y110A7A.9
F26H9.8	F26H9.8
F48C1.3	F48C1.3
Y37F4.4	Y37F4.4
T06D10.1	T06D10.1
CC4.3	smu-1
T15D6.11	T15D6.11
Y54E5A.1	Y54E5A.1
F29D10.2	F29D10.2
F32H2.8	F32H2.8
W02B9.1	hmr-1
F53G12.7	col-45
K02F2.3	tag-203
F36A2.9	F36A2.9
F47G4.6	F47G4.6
E01A2.10	E01A2.10
T27A3.4	T27A3.4
C17H1.5	C17H1.5
Y44E3A.2	ace-2
C30F12.4	C30F12.4
Y105E8A.23	Y105E8A.23
F26B1.2	F26B1.2
T10E9.7	nuo-2
Y39G10AR.18	Y39G10AR.18
F30F8.1	F30F8.1
F49D11.7	F49D11.7
F43G9.2	F43G9.2
F37E3.3	F37E3.3
Y47G6A.7	Y47G6A.7
R06C1.4	R06C1.4
T09E11.1	T09E11.1
F45H11.3	F45H11.3
F28D9.2	sri-5
F10G8.3	npp-17
ZC334.7	ZC334.7
C37A2.3	C37A2.3
T21G5.4	T21G5.4
T15D6.6	nhr-77
Y26D4A.10	Y26D4A.10
M01G12.12	rrf-2
C16C2.1	ceh-5
Y63D3A.10	fbxb-56
F39B2.4	sur-2
C01A2.6	C01A2.6
T21E12.3	T21E12.3
K04F10.6	mut-2
F16D3.4	F16D3.4
Y39G10AR.2	zwl-1
K07A1.9	K07A1.9
Y47G6A.5	Y47G6A.5
ZK1053.7	ZK1053.7
K07A12.6	hot-5
C49A1.10	C49A1.10
Y71A12C.1	nhr-276
M04F3.4	M04F3.4
Y34D9A.7	Y34D9A.7
F08A8.8	F08A8.8
C15A11.7	C15A11.7
W02D3.5	lbp-6
R06C7.8	bub-1
F36F2.2	F36F2.2
F54C1.2	dom-3
F58D5.4	ksr-2
K07G5.6	K07G5.6
F36D1.5	F36D1.5
F27D4.1	F27D4.1
H26D21.2	msh-2
T22H2.6	T22H2.6
F11C3.1	F11C3.1
Y95B8A.10	pde-6
Y76G2A.2	Y76G2A.2
B0511.11	B0511.11
W04G5.4	W04G5.4
F25F8.1	F25F8.1
F52A8.3	F52A8.3
C12C8.3	lin-41
F48C1.8	F48C1.8
VH15N14R.1	VH15N14R.1
Y71G12B.1	Y71G12B.1
Y105E8A.27	Y105E8A.27
F07A5.2	F07A5.2
W02D9.4	W02D9.4
Y18H1A.10	Y18H1A.10
B0414.5	cpb-3
K04F10.2	K04F10.2
T22C1.9	T22C1.9
T27F6.4	T27F6.4
Y65B4BR.4	wwp-1
K02B12.4	axl-1
Y18H1A.8	Y18H1A.8
R119.6	taf-4
K04F10.1	K04F10.1
T27F6.7	T27F6.7
T01A4.1	gcy-28
K05C4.9	K05C4.9
B0511.9	cdc-26
Y106G6H.16	Y106G6H.16
C45G3.5	C45G3.5
H31G24.4	cyb-2.2
