Ensembl Gene ID	Associated Gene Name
ENSMUSG00000079832	AC175493.3
ENSMUSG00000074844	CAAA01200547.1.1.14955
ENSMUSG00000079818	AC175492.4
ENSMUSG00000079806	AC145608.3
ENSMUSG00000079797	AC145597.4
ENSMUSG00000079777	AC146633.2
ENSMUSG00000079764	AC087559.69-1
ENSMUSG00000079763	AC087559.69-2
ENSMUSG00000079756	CT954253.4
ENSMUSG00000079682	AC177797.3
ENSMUSG00000079680	AC140348.4
ENSMUSG00000079672	CAAA01128729.1.1.15794
ENSMUSG00000073647	AC123048.4
ENSMUSG00000071871	AC139334.3
ENSMUSG00000037769	AC141429.4
ENSMUSG00000071868	AC102441.6-1
ENSMUSG00000069448	AC158772.5-1
ENSMUSG00000063628	AC102376.14-1
ENSMUSG00000073622	AC122118.7
ENSMUSG00000063533	AC105067.8
ENSMUSG00000046636	AC102562.13
ENSMUSG00000055771	AC139042.18
ENSMUSG00000073603	AC121821.3-1
ENSMUSG00000035617	AC127350.3
ENSMUSG00000046191	AC020967.2
ENSMUSG00000034339	AC122848.3-1
ENSMUSG00000048188	AC101807.12
ENSMUSG00000067134	AC137150.11
ENSMUSG00000073569	AC099590.16
ENSMUSG00000069376	AC115124.6
ENSMUSG00000069373	AC122117.10
ENSMUSG00000079574	AC152398.7
ENSMUSG00000073554	AC151990.6-1
ENSMUSG00000063388	AC151990.6-2
ENSMUSG00000069367	AC121903.2
ENSMUSG00000064323	AC157903.3
ENSMUSG00000073543	AC140336.2-1
ENSMUSG00000059662	AC147992.3
ENSMUSG00000056682	AC102195.14-1
ENSMUSG00000073517	AC142448.3-1
ENSMUSG00000058211	AC144861.3
ENSMUSG00000043498	AC116387.7
ENSMUSG00000079569	CT485609.15-1
ENSMUSG00000063911	AC139347.4
ENSMUSG00000079740	CT010583.8-1
ENSMUSG00000071643	AC154606.2
ENSMUSG00000071637	AC154586.2
ENSMUSG00000055497	AC154667.2-1
ENSMUSG00000076929	Igl-V1
ENSMUSG00000076930	AC079817.41-1
ENSMUSG00000076931	AC079817.41-2
ENSMUSG00000076932	AC079817.41-3
ENSMUSG00000076933	AC079817.41-4
ENSMUSG00000076934	Igl-V1
ENSMUSG00000076935	AC112681.12-1
ENSMUSG00000076936	AC112681.12-2
ENSMUSG00000076937	Igl-V1
ENSMUSG00000076938	AC112681.12-3
ENSMUSG00000076939	AC112681.12-4
ENSMUSG00000076940	Igl-V2
ENSMUSG00000068529	AC120150.9
