Ensembl Gene ID	Associated Gene Name
ENSDARG00000079210	
ENSDARG00000077091	
ENSDARG00000074913	zgc:153184
ENSDARG00000060734	appl1
ENSDARG00000068402	RCSD1 (1 of 3)
ENSDARG00000008473	LOC568371
ENSDARG00000076631	ZNF233
ENSDARG00000073669	
ENSDARG00000058255	KCTD15
ENSDARG00000079999	RSBN1
ENSDARG00000053942	zgc:112303
ENSDARG00000069770	
ENSDARG00000075412	
ENSDARG00000036900	LOC557557
ENSDARG00000077401	A5WVK1_DANRE
ENSDARG00000074948	A5WVK2_DANRE
ENSDARG00000057465	gfpt1
ENSDARG00000074542	A5WVK3_DANRE
ENSDARG00000062898	zgc:162199
ENSDARG00000038398	LOC100007686
ENSDARG00000022744	zgc:63658
ENSDARG00000043897	st6galnac4
ENSDARG00000068477	A9JRE9_DANRE
ENSDARG00000038399	zgc:92878
ENSDARG00000074195	LOC100007655
ENSDARG00000067529	
ENSDARG00000038912	ARPP-21 (1 of 2)
ENSDARG00000038401	zgc:112180
ENSDARG00000079628	
ENSDARG00000075802	GRIN3A
ENSDARG00000077099	TSPAN2  (3 of 3)
ENSDARG00000073793	
ENSDARG00000074924	ESNA1 (1 of 2)
ENSDARG00000075052	sb:cb54
ENSDARG00000035766	IRF4 (3 of 3)
ENSDARG00000061019	SHANK2 (2 of 2)
ENSDARG00000078129	LOC100151463
ENSDARG00000073946	LOC572404
ENSDARG00000075295	LOC100000918
ENSDARG00000074321	TEAD3 (1 of 2)
ENSDARG00000006341	tas1r3
ENSDARG00000077951	Q1LWM9_DANRE
ENSDARG00000009776	LOC566618
ENSDARG00000018722	MCOLN2
ENSDARG00000059685	A4QN61_DANRE
ENSDARG00000058829	zgc:171424
ENSDARG00000079192	
ENSDARG00000068076	psmd7
ENSDARG00000014022	NFAT5 (1 of 2)
ENSDARG00000038684	MFAP4 (1 of 7)
ENSDARG00000004965	bmp5
ENSDARG00000038472	zgc:63645
ENSDARG00000040406	CACNA2D1 (1 of 2)
ENSDARG00000053219	LOC100148160
ENSDARG00000063316	HGF (1 of 2)
ENSDARG00000023821	LOC566451
ENSDARG00000055555	prdm15
ENSDARG00000078936	NEU1
ENSDARG00000043357	tbl2
ENSDARG00000078120	
ENSDARG00000038916	TRPS1 (2 of 2)
ENSDARG00000019917	
ENSDARG00000079458	
ENSDARG00000075218	LOC100148128
ENSDARG00000002702	surf4
ENSDARG00000067913	zgc:154012
ENSDARG00000073859	LOC100151363
ENSDARG00000018913	LOC564816
ENSDARG00000079667	B8JKS4_DANRE
ENSDARG00000073976	
ENSDARG00000073765	GNA13 (2 of 2)
ENSDARG00000074681	CLCN2
ENSDARG00000075281	
ENSDARG00000056305	
ENSDARG00000074814	
ENSDARG00000042781	ppp4r1
ENSDARG00000054980	ebna1bp2l
ENSDARG00000054984	Q1RLV8_DANRE
ENSDARG00000078735	ZBTB41 (1 of 2)
ENSDARG00000078862	zgc:175274
ENSDARG00000075132	zgc:66253
ENSDARG00000074529	ZNF403 (2 of 2)
ENSDARG00000077969	LOC570508
ENSDARG00000059231	zgc:165649
ENSDARG00000060303	B0V3G1_DANRE
ENSDARG00000031150	zgc:112375
ENSDARG00000040907	B0R1C3_DANRE
ENSDARG00000078468	B0R1C4_DANRE
ENSDARG00000073673	GPR125
ENSDARG00000018553	B0R1C5_DANRE
ENSDARG00000079853	rad51
ENSDARG00000061585	zgc:154042
ENSDARG00000022970	tm9sf1
ENSDARG00000011404	fen1
ENSDARG00000009740	ppp1r7
ENSDARG00000062864	zgc:152983
ENSDARG00000074080	KIAA0841 (2 of 2)
ENSDARG00000036985	PLXNB2  (3 of 3)
ENSDARG00000078121	RCC1 (1 of 2)
ENSDARG00000079086	ASB12 (2 of 3)
ENSDARG00000077186	
ENSDARG00000005485	zgc:85838
ENSDARG00000017446	camk1d
ENSDARG00000040123	zfpm2a
ENSDARG00000058440	NM_001037661.1
ENSDARG00000063437	wnt9a
ENSDARG00000077837	CHTF18 (2 of 2)
ENSDARG00000025200	ppox
ENSDARG00000067801	SEMA4D
ENSDARG00000041086	
