Ensembl Gene ID	Associated Gene Name
ENSRNOG00000040343	
ENSRNOG00000031649	LOC316866
ENSRNOG00000040342	LOC310926
ENSRNOG00000030605	RGD1563903_predicted
ENSRNOG00000040341	
ENSRNOG00000034271	
ENSRNOG00000029705	
ENSRNOG00000040340	
ENSRNOG00000033945	LOC365615
ENSRNOG00000030836	
ENSRNOG00000021490	LOC365029
ENSRNOG00000009997	Arts1
ENSRNOG00000029999	
ENSRNOG00000040733	SNORA17
ENSRNOG00000032583	LOC678740
ENSRNOG00000005949	
ENSRNOG00000033371	RGD1565892_predicted
ENSRNOG00000023718	RGD1561757_predicted
ENSRNOG00000030063	
ENSRNOG00000040339	LOC499962
ENSRNOG00000010278	Il6
ENSRNOG00000040338	
ENSRNOG00000028242	LOC688839
ENSRNOG00000029249	LOC308240
ENSRNOG00000010353	Dnajb6
ENSRNOG00000040337	
ENSRNOG00000040336	
ENSRNOG00000040335	LOC687363
ENSRNOG00000024325	RGD1560449_predicted
ENSRNOG00000010702	RGD1559986_predicted
ENSRNOG00000040334	
ENSRNOG00000028475	
ENSRNOG00000005062	
ENSRNOG00000005306	RGD1563910_predicted
ENSRNOG00000040333	LOC687026
ENSRNOG00000030558	RGD1564110_predicted
ENSRNOG00000005070	Spopl
ENSRNOG00000040332	
ENSRNOG00000006481	Ecd
ENSRNOG00000005691	Rnf32
ENSRNOG00000005223	Hnmt
ENSRNOG00000010590	LOC682004
ENSRNOG00000033682	LOC680050
ENSRNOG00000040330	
ENSRNOG00000027086	
ENSRNOG00000006120	Shh
ENSRNOG00000032365	
ENSRNOG00000040329	
ENSRNOG00000027336	LOC365999
ENSRNOG00000040328	Prr8
ENSRNOG00000028372	RGD1310651_predicted
ENSRNOG00000005701	RGD1563019_predicted
ENSRNOG00000005722	NP_001100024.1
ENSRNOG00000006718	
ENSRNOG00000033052	RGD1559890_predicted
ENSRNOG00000006754	
ENSRNOG00000005751	NP_001101284.1
ENSRNOG00000028311	LOC685001
ENSRNOG00000005800	NP_001102041.1
ENSRNOG00000040327	
ENSRNOG00000005871	Il1rn
ENSRNOG00000006846	NP_001102684.1
ENSRNOG00000006859	Insig1
ENSRNOG00000006079	Psd4
ENSRNOG00000007066	Htr5a
ENSRNOG00000026203	Pax8
ENSRNOG00000007131	LOC681792
ENSRNOG00000031001	RGD1562697_predicted
ENSRNOG00000004202	
ENSRNOG00000004208	Crim1_predicted
ENSRNOG00000030547	Dpp6
ENSRNOG00000010286	Cast
ENSRNOG00000029897	
ENSRNOG00000032754	
ENSRNOG00000040325	
ENSRNOG00000033113	Raet1e_predicted
ENSRNOG00000040323	
ENSRNOG00000004577	Fez2
ENSRNOG00000040322	
