Ensembl Gene ID	Associated Gene Name
YHR055C	CUP1-2
YPR161C	SGV1
YOL138C	YOL138C
YDR395W	SXM1
YGR129W	SYF2
YPR165W	RHO1
YPR098C	YPR098C
YPL015C	HST2
YCL050C	APA1
YAL069W	YAL069W
YMR193W	MRPL24
YLR031W	YLR031W
YIL014C-A	YIL014C-A
YGR053C	YGR053C
YCR101C	YCR101C
YER087C-B	SBH1
YOR280C	FSH3
YGR097W	ASK10
YHR215W	PHO12
YKL025C	PAN3
YKR011C	YKR011C
YEL004W	YEA4
YJL200C	ACO2
YLL027W	ISA1
YOR024W	YOR024W
YLR045C	STU2
YDR348C	YDR348C
YPL183C	YPL183C
YGR003W	CUL3
YEL008C-A	YEL008C-A
YBL095W	YBL095W
YGL060W	YBP2
YLL007C	YLL007C
YEL009C	GCN4
YEL015W	EDC3
YOR083W	WHI5
YBR252W	DUT1
YDR329C	PEX3
YDL202W	MRPL11
YHR209W	CRG1
YPR008W	HAA1
YER075C	PTP3
YDL203C	ACK1
YBR050C	REG2
YMR197C	VTI1
YDR261W-A	YDR261W-A
YBL049W	MOH1
YER054C	GIP2
YDR305C	HNT2
YHL019W-A	YHL019W-A
YNL201C	PSY2
YHR180W-A	YHR180W-A
YCR061W	YCR061W
YBR206W	YBR206W
YPL171C	OYE3
YHR051W	COX6
YDL116W	NUP84
YPR124W	CTR1
YJL023C	PET130
YGL167C	PMR1
YDL165W	CDC36
YLR154C-H	YLR154C-H
YPL119C-A	YPL119C-A
YIL143C	SSL2
YBR292C	YBR292C
YGR240C	PFK1
YOR094W	ARF3
YDR167W	TAF10
YBR063C	YBR063C
YER052C	HOM3
YGR178C	PBP1
YPL118W	MRP51
YPR187W	RPO26
YJL065C	DLS1
YOL141W	PPM2
YPR086W	SUA7
YBR122C	MRPL36
YBR271W	YBR271W
YBR279W	PAF1
YHR095W	YHR095W
YMR221C	FMP42
YDR241W	BUD26
YJL221C	FSP2
YER130C	YER130C
YBR155W	CNS1
YDR363W	ESC2
YGR266W	YGR266W
YLR443W	ECM7
YPL147W	PXA1
YAL034C	FUN19
YBR067C	TIP1
YCR095C	OCA4
YLR270W	DCS1
YPR084W	YPR084W
YBR184W	YBR184W
YMR113W	FOL3
YGR035C	YGR035C
YDL222C	FMP45
YCL008C	STP22
YEL065W	SIT1
YNL335W	DDI3
YMR296C	LCB1
YDR232W	HEM1
YGR190C	YGR190C
YHR116W	COX23
YDR313C	PIB1
YFR018C	YFR018C
