Pathway Name	Organism	Gene Ontology	Url to WikiPathways	Last Changed	Last Revision	Author	Count	Entrez	Ensembl	SwissProt	UniGene	RefSeq	MOD	PubChem	CAS	ChEBI
Irinotecan Pathway	Rattus norvegicus		http://137.120.14.24/wikipathways-test/index.php/Pathway:WP100	20081027211400	19355	169.230.76.4, MaintBot	13	171118,29225,CYP3A4,CYP3A5,24861,UGT1A9,24565,25303,312382,113992,UGT1A10,65036								
IL-9 Signaling Pathway	Homo sapiens		http://137.120.14.24/wikipathways-test/index.php/Pathway:WP103	20081027211400	19361	A.Pandey, MaintBot	24	3578,3581,3561,3667,5295,8660,2885,10524,6774,3716,7415,3718,5605,5594,5595,5604,6464,6772,6776,6777,207,5781,7297,9021								
One Carbon Metabolism	Homo sapiens		http://137.120.14.24/wikipathways-test/index.php/Pathway:WP121	20090218125205	21341	Michiel, Frank, Thomas, MaintBot, Txr24, Egoyenechea, AlexanderPico	31	2346,6470,10840,6948,4524,635,1786,4548,4552,4522,2618,471,1719,25902,123263,1788,1789,10797,10841,10588,191,23382,27430,4143							25513-46-6,59-30-3,135-16-0,4033-27-6,134-35-0,2800-34-2	
IL-5 Signaling Pathway	Rattus norvegicus		http://137.120.14.24/wikipathways-test/index.php/Pathway:WP125	20081027211401	19405	A.Pandey, MaintBot	28	24497,114103,171081,85385,25622,25751,25023,116590,50689, ,81649,25493,50646,298947,58960,25513,29741,116689,81736,50658,81504,81515,29402,287942,24703,24525,25155,83841								
Monoamine GPCRs	Homo sapiens		http://137.120.14.24/wikipathways-test/index.php/Pathway:WP147	20081027211402	19449	Nsalomonis, MaintBot, AlexanderPico, J.S.Fong	30	1812,1813,1814,1816,3350,3351,3352,3354,3355,3356,3357,3358,3360,3361,3362,3363,148,147,146,150,153,154,155,3269,3274,1128,1129,1131,1133,1815								
Monoamine GPCRs	Rattus norvegicus		http://137.120.14.24/wikipathways-test/index.php/Pathway:WP172	20081027211402	19499	Nsalomonis, MaintBot, J.S.Fong	28	24316,24318,29238,25432,29595,29581,25324,25689,79247,64354,65032,29412,24173,29413,25083,24174,24175,24176,25645,29307,25229,81645,24260,25111,53949,24925,25195,24448								
IL-5 Signaling Pathway	Homo sapiens		http://137.120.14.24/wikipathways-test/index.php/Pathway:WP236	20081027211404	19627	A.Pandey, MaintBot	30	3567,3568,1439,6464,5781,1785,5579,5594,5595,25759,1432,4792,2185,5294,5605,5295,5296,5777,4790,5601,2885,4067,9094,1399,5894,3845,6850,6386,6659								
ACE Inhibitor Pathway (Homo Sapiens)	Homo sapiens		http://137.120.14.24/wikipathways-test/index.php/Pathway:WP447	20081027211411	20049	C.F.Thorn, MaintBot, Jinwook, Khanspers, AlexanderPico	13	183,5972,1636,186,3827,4846,185,624						65143,3081372		
ACE Inhibitor Pathway	Rattus norvegicus		http://137.120.14.24/wikipathways-test/index.php/Pathway:WP536	20081027211414	20227	C.F.Thorn, MaintBot, Khanspers	9	24179,24715,24310,24182,24903,24600,25245,81638								
Hs Selenium metabolism/Selenoproteins	Homo sapiens		http://137.120.14.24/wikipathways-test/index.php/Pathway:WP167	20081027211402	19489	Susan, Thomas, 169.230.76.4, MaintBot, MartijnVanIersel, Egoyenechea	30	6670,60678,54938,51540,2876,2877,2879,1733,6414,7296,6415,22928,1734,1735,2878,257202,280636,85465,58515,140606		P49903,P05412,Q96T21,Q8IV42,O60613		NP 036380,NP 612482,NP 001893				
