Ensembl Gene ID	Associated Gene Name
ENSGALG00000014600	
ENSGALG00000011014	
ENSGALG00000024427	
ENSGALG00000024426	
ENSGALG00000005825	
ENSGALG00000024425	
ENSGALG00000000180	
ENSGALG00000024424	Q3L3P8_CHICK
ENSGALG00000024423	
ENSGALG00000013381	Q5S026_CHICK
ENSGALG00000009889	
ENSGALG00000024422	Q860H5_CHICK
ENSGALG00000024421	Q860H7_CHICK
ENSGALG00000024420	
ENSGALG00000024419	Q5S019_CHICK
ENSGALG00000004617	
ENSGALG00000002607	Q802S7_CHICK
ENSGALG00000013298	
ENSGALG00000024418	
ENSGALG00000024417	
ENSGALG00000001179	ARMC8
ENSGALG00000001190	DBR1_CHICK
ENSGALG00000000238	MVP_CHICK
ENSGALG00000001208	
ENSGALG00000001213	MSL2
ENSGALG00000001217	PCCB
ENSGALG00000013262	C2orf65
ENSGALG00000000290	
ENSGALG00000013260	
ENSGALG00000000307	
ENSGALG00000013254	LOXL3
ENSGALG00000000327	Q804J3_CHICK
ENSGALG00000013250	HTRA2
ENSGALG00000024416	AUP1
ENSGALG00000024415	DCTN1_CHICK
ENSGALG00000024414	
ENSGALG00000001277	STAG1
ENSGALG00000018125	
ENSGALG00000000335	
ENSGALG00000000337	CTXN1
ENSGALG00000000352	TIMM44
ENSGALG00000024413	
ENSGALG00000001285	TMM22_CHICK
ENSGALG00000001295	SCLY
ENSGALG00000000377	NP_001026103.1
ENSGALG00000024412	
ENSGALG00000009103	
ENSGALG00000001302	NM_001031300.1
ENSGALG00000001327	AIRE
ENSGALG00000001428	NP_001026943.1
ENSGALG00000014631	ACVR1B
ENSGALG00000009115	
ENSGALG00000009118	NP_997063.1
ENSGALG00000000406	
ENSGALG00000005991	FIGNL2
ENSGALG00000006060	SCN8A
ENSGALG00000000407	
ENSGALG00000000408	NP_001006337.1
ENSGALG00000000430	PSL1_CHICK
ENSGALG00000009132	
ENSGALG00000009146	
ENSGALG00000001490	KCNJ13
ENSGALG00000017846	SNORA55
ENSGALG00000025509	gga-mir-1465
ENSGALG00000024411	C2orf82
ENSGALG00000024410	
ENSGALG00000000458	TMPRSS9
ENSGALG00000009144	
ENSGALG00000024409	
ENSGALG00000009165	
ENSGALG00000024408	
ENSGALG00000006075	
ENSGALG00000009220	
ENSGALG00000024407	
ENSGALG00000006081	TMPRSS12
ENSGALG00000000470	LMNB2_CHICK
ENSGALG00000024406	
ENSGALG00000006089	ATF1
ENSGALG00000024405	
ENSGALG00000001519	NEU2
ENSGALG00000001589	INPP5D
ENSGALG00000006139	DIP2B
ENSGALG00000000474	NM_204140.1
ENSGALG00000006163	NP_001012718.1
ENSGALG00000000490	LONP1
ENSGALG00000001619	ATG16L1
ENSGALG00000006169	LIMA1
ENSGALG00000023894	
ENSGALG00000001696	SAG
ENSGALG00000006184	LASS5
ENSGALG00000000558	SLC1A6
ENSGALG00000024404	C12orf62
ENSGALG00000017567	GPD1
ENSGALG00000006209	SMARCD1
ENSGALG00000006240	NP_001035557.1
ENSGALG00000000577	RANBP3
ENSGALG00000024403	
ENSGALG00000013364	
ENSGALG00000001009	XR_027243.1
ENSGALG00000024402	
ENSGALG00000000760	Q6R0H8_CHICK
ENSGALG00000001730	DGKD
ENSGALG00000006271	RACGAP1P
ENSGALG00000021693	
ENSGALG00000021692	NDUFA11
ENSGALG00000000589	NP_001029989.1
ENSGALG00000024401	Q6R0I0_CHICK
ENSGALG00000024400	Q6R0I1_CHICK
ENSGALG00000006311	HDAC7
ENSGALG00000000599	MARCH2
ENSGALG00000000613	NP_001012569.1
ENSGALG00000000766	NP_001026636.1
ENSGALG00000001780	NP_989772.1
ENSGALG00000024399	
ENSGALG00000000619	ANGPTL4
ENSGALG00000000621	KANK3
ENSGALG00000000794	NP_001006144.1
ENSGALG00000006321	
