Ensembl Gene ID	Yeast Ensembl ID
ENSG00000216295	
ENSG00000215753	
ENSG00000215752	
ENSG00000215710	
ENSG00000210049	
ENSG00000211459	
ENSG00000210077	
ENSG00000210082	
ENSG00000209082	
ENSG00000210100	
ENSG00000210107	
ENSG00000210112	
ENSG00000210117	
ENSG00000210127	
ENSG00000210135	
ENSG00000210140	
ENSG00000210144	
ENSG00000210151	
ENSG00000210154	
ENSG00000210156	
ENSG00000210164	
ENSG00000210174	
ENSG00000210176	
ENSG00000210184	
ENSG00000210191	
ENSG00000210194	
ENSG00000210195	
ENSG00000210196	
ENSG00000183102	
ENSG00000168204	
ENSG00000215606	
ENSG00000215779	
ENSG00000215780	
ENSG00000215722	
ENSG00000215705	
ENSG00000215777	
ENSG00000215746	
ENSG00000215708	
ENSG00000215736	
ENSG00000215715	
ENSG00000215407	
ENSG00000204879	
ENSG00000196134	
ENSG00000185390	
ENSG00000182546	
ENSG00000215575	
ENSG00000204888	
ENSG00000196383	
ENSG00000215609	
ENSG00000215562	
ENSG00000172963	
ENSG00000198401	
ENSG00000173357	
ENSG00000197999	
ENSG00000198290	
ENSG00000215360	
ENSG00000178769	
ENSG00000215589	
ENSG00000215586	
ENSG00000214310	
ENSG00000215759	
ENSG00000215550	
ENSG00000217642	
ENSG00000215544	
ENSG00000197382	
ENSG00000215583	
ENSG00000140181	
ENSG00000215572	
ENSG00000215571	
ENSG00000196941	
ENSG00000169849	
ENSG00000215357	
ENSG00000215307	
ENSG00000196848	
ENSG00000215553	
ENSG00000177586	
ENSG00000204658	
ENSG00000215621	
ENSG00000205879	
ENSG00000204556	
ENSG00000204554	
ENSG00000215526	
ENSG00000197664	
ENSG00000187589	
ENSG00000215546	
ENSG00000215325	
ENSG00000215319	
ENSG00000215233	
ENSG00000198787	
ENSG00000215341	
ENSG00000198308	
ENSG00000215493	
ENSG00000182556	
ENSG00000215313	
ENSG00000174028	
ENSG00000198256	
ENSG00000215311	
ENSG00000215310	
ENSG00000215499	
ENSG00000205964	
ENSG00000185871	
ENSG00000198567	
ENSG00000198397	
ENSG00000215515	
ENSG00000215496	
ENSG00000215297	
ENSG00000196847	
ENSG00000215315	
ENSG00000174678	
ENSG00000216866	
ENSG00000172297	
ENSG00000188399	
ENSG00000215506	
ENSG00000185296	
ENSG00000210264	
ENSG00000197468	
ENSG00000215323	
ENSG00000210269	
ENSG00000215302	
ENSG00000217624	
ENSG00000173394	
ENSG00000198414	
ENSG00000215456	
ENSG00000215286	
ENSG00000215486	
ENSG00000215284	
ENSG00000215482	
ENSG00000215480	
ENSG00000197031	
ENSG00000215457	
ENSG00000196258	
ENSG00000210339	
ENSG00000210344	
ENSG00000210350	
ENSG00000210355	
ENSG00000210363	
ENSG00000210372	
ENSG00000210374	
