Ensembl Gene ID	Associated Gene Name
ENSXETG00000003219	
ENSXETG00000024160	PEX11B
ENSXETG00000024163	
ENSXETG00000024161	LMNA
ENSXETG00000013019	CLDN14
ENSXETG00000013022	SIM2
ENSXETG00000013028	HLCS
ENSXETG00000013030	DSCR6
ENSXETG00000018803	PIGP
ENSXETG00000013035	DSCR3
ENSXETG00000028103	
ENSXETG00000013037	DYRK1A
ENSXETG00000003114	
ENSXETG00000028102	
ENSXETG00000016544	
ENSXETG00000004031	
ENSXETG00000020515	HAS1
ENSXETG00000014790	
ENSXETG00000012296	TNRC4
ENSXETG00000020832	
ENSXETG00000017970	BC090356.1
ENSXETG00000017971	IMMT
ENSXETG00000017972	REEP1
ENSXETG00000017975	JMJD1A
ENSXETG00000017980	vps24
ENSXETG00000001923	VPS24
ENSXETG00000001924	TGas140j12.1
ENSXETG00000001925	CD8A
ENSXETG00000007576	
ENSXETG00000001926	EIF2AK3
ENSXETG00000001930	
ENSXETG00000001934	Q6P2Z3_XENTR
ENSXETG00000001935	foxi1
ENSXETG00000001936	THNSL2
ENSXETG00000001938	FABP1
ENSXETG00000001940	SMYD1
ENSXETG00000001949	TNeu105p20.1
ENSXETG00000028100	MRPL35
ENSXETG00000003816	TEgg049g06.1
ENSXETG00000001952	POLR1A
ENSXETG00000007154	
ENSXETG00000001974	ST3GAL5
ENSXETG00000001976	ATOH8
ENSXETG00000021042	fgfrl1
ENSXETG00000013520	PYROXD1
ENSXETG00000021044	SPON2
ENSXETG00000008069	FGF11
ENSXETG00000021047	ctbp1
ENSXETG00000013524	recql
ENSXETG00000005683	
ENSXETG00000005684	ABT1
ENSXETG00000009364	
ENSXETG00000006672	
ENSXETG00000008984	
ENSXETG00000006675	SMPD3
ENSXETG00000000133	
ENSXETG00000006676	PRMT7
ENSXETG00000006678	TEgg029j19.1
ENSXETG00000013363	
ENSXETG00000006680	TEgg023f12.1
ENSXETG00000012592	
ENSXETG00000028099	
ENSXETG00000028098	
ENSXETG00000019224	C6orf105
ENSXETG00000028097	ddx19
ENSXETG00000017576	OTUD3
ENSXETG00000017604	nbl1
ENSXETG00000017607	CAPZB
ENSXETG00000019428	efna1
ENSXETG00000017614	BC074639.1
ENSXETG00000028096	TNeu026f04.1
ENSXETG00000017615	akr7a2
ENSXETG00000013072	
ENSXETG00000006889	
ENSXETG00000028095	
ENSXETG00000017042	TRIM45
ENSXETG00000011586	rab21
ENSXETG00000011587	TMEM19
ENSXETG00000008346	
ENSXETG00000021921	
ENSXETG00000028093	
ENSXETG00000003648	PTPN3
ENSXETG00000000363	TNeu066f19.1
ENSXETG00000000362	GZMK
ENSXETG00000000364	ESM1
ENSXETG00000000365	GZMA
ENSXETG00000028092	GPX8
ENSXETG00000028091	BC067943.1
ENSXETG00000000367	DHX29
ENSXETG00000000375	ppap2a
ENSXETG00000016448	ITPR2
ENSXETG00000026622	MBD4
ENSXETG00000006379	
ENSXETG00000028089	
ENSXETG00000018256	
ENSXETG00000022731	
ENSXETG00000022728	
ENSXETG00000028088	
ENSXETG00000003679	
ENSXETG00000002446	
ENSXETG00000028086	
ENSXETG00000028085	
ENSXETG00000022559	PHF2
ENSXETG00000010759	
ENSXETG00000003369	
ENSXETG00000028084	
ENSXETG00000003370	
ENSXETG00000028083	Q6DEW8_XENTR
ENSXETG00000022930	NDOR1
ENSXETG00000003375	fam50a
ENSXETG00000028082	SSNA1
ENSXETG00000003376	GDI1
ENSXETG00000003377	ATP6AP1
ENSXETG00000022932	ANAPC2
ENSXETG00000003378	taz
ENSXETG00000022931	
ENSXETG00000022933	GRIN1
ENSXETG00000003379	
ENSXETG00000022934	
ENSXETG00000022935	znf618
ENSXETG00000022936	ARAF
ENSXETG00000008181	
ENSXETG00000028081	serpine2
ENSXETG00000008182	
ENSXETG00000028080	BC081309.1
ENSXETG00000008183	CUL3
ENSXETG00000019876	
ENSXETG00000008188	SPSB4
ENSXETG00000013820	CHST10
ENSXETG00000012104	
ENSXETG00000007757	
ENSXETG00000007752	
ENSXETG00000007753	
ENSXETG00000000004	
ENSXETG00000018694	
ENSXETG00000018164	SEMA4A
ENSXETG00000028079	aloxe3
ENSXETG00000016784	
ENSXETG00000024232	
ENSXETG00000024202	
ENSXETG00000024216	
ENSXETG00000024217	
ENSXETG00000020043	
ENSXETG00000020046	
ENSXETG00000011286	
ENSXETG00000020506	
ENSXETG00000005083	hint2
ENSXETG00000028077	
ENSXETG00000000667	DAB2IP
ENSXETG00000009615	TPM2
ENSXETG00000011501	C9orf23
ENSXETG00000028076	
ENSXETG00000000664	
ENSXETG00000000661	
ENSXETG00000018579	
ENSXETG00000012152	
ENSXETG00000018673	
ENSXETG00000018677	
ENSXETG00000005334	
ENSXETG00000005332	SARS2
ENSXETG00000005327	
ENSXETG00000005326	mrps12
ENSXETG00000005314	PAK4
ENSXETG00000005319	NCCRP1
ENSXETG00000003110	
ENSXETG00000005318	SYCN
ENSXETG00000005310	
ENSXETG00000005309	LRFN1
ENSXETG00000028075	GMFG
ENSXETG00000028074	
ENSXETG00000017513	NPHS1
ENSXETG00000001252	KIRREL2
ENSXETG00000012101	APLP1
ENSXETG00000001253	GNA13
ENSXETG00000001262	SLC16A6
ENSXETG00000027253	GGT6
ENSXETG00000020913	NOL8
ENSXETG00000010742	
ENSXETG00000028072	
ENSXETG00000028071	
ENSXETG00000017560	Q66JK6_XENTR
ENSXETG00000007574	CLDN7
ENSXETG00000028070	TEgg081i20.1
ENSXETG00000017563	HSPB6
ENSXETG00000008801	
ENSXETG00000017565	psenen
ENSXETG00000028069	
ENSXETG00000017567	
ENSXETG00000008802	
ENSXETG00000008803	
ENSXETG00000008804	BC076876.1
ENSXETG00000008805	LIG1
ENSXETG00000028068	
ENSXETG00000017599	TNeu057g23.1
ENSXETG00000028067	
ENSXETG00000015246	NUMA1
ENSXETG00000028066	GOLGA4
ENSXETG00000021145	
ENSXETG00000016931	
ENSXETG00000016399	Q5M8F4_XENTR
ENSXETG00000000652	
ENSXETG00000008538	
ENSXETG00000028065	
ENSXETG00000028064	
ENSXETG00000008323	
ENSXETG00000015658	
ENSXETG00000008324	s100a11
ENSXETG00000028063	
ENSXETG00000022246	ARFRP1
ENSXETG00000003682	BC061446.1
ENSXETG00000028062	
ENSXETG00000003683	PTH1R
ENSXETG00000003685	TMIE
ENSXETG00000003686	ALS2CL
ENSXETG00000014736	
ENSXETG00000003687	JMJD4
ENSXETG00000003688	SNAP47
ENSXETG00000028061	
ENSXETG00000007635	ATP6V0A1
ENSXETG00000028060	
ENSXETG00000007639	Q6DF18_XENTR
ENSXETG00000007642	
ENSXETG00000010676	Q66KB4_XENTR
ENSXETG00000010677	KIAA1530
ENSXETG00000028059	
ENSXETG00000022306	UHRF1
ENSXETG00000028058	
ENSXETG00000018532	
ENSXETG00000018527	PAX7
ENSXETG00000018531	ALDH4A1
ENSXETG00000000005	
ENSXETG00000019159	TNK1
ENSXETG00000009483	EIF4G3
ENSXETG00000004170	
ENSXETG00000009487	HP1BP3
ENSXETG00000014247	
ENSXETG00000000764	
ENSXETG00000002363	BC080948.1
ENSXETG00000000800	Q6DDD0_XENTR
ENSXETG00000002364	PIGO
ENSXETG00000008076	
ENSXETG00000002371	KIF27
ENSXETG00000000799	COQ3
ENSXETG00000000797	C6orf168
ENSXETG00000028057	POU3F2
ENSXETG00000000796	C6orf167
ENSXETG00000028056	
ENSXETG00000000794	bklhd5
ENSXETG00000001066	GPR63
ENSXETG00000001065	FHL5
ENSXETG00000028055	
ENSXETG00000001064	KIAA0776
ENSXETG00000001063	
ENSXETG00000001061	fut9
ENSXETG00000001060	MANEA
ENSXETG00000018746	EPHA7
ENSXETG00000018737	MAP3K7
ENSXETG00000023043	snd1
ENSXETG00000023047	impdh1
ENSXETG00000023057	OPN1SW
ENSXETG00000023059	Q6NVM5_XENTR
ENSXETG00000023063	GCC1
ENSXETG00000023066	FAM116B
ENSXETG00000028052	
ENSXETG00000028051	
ENSXETG00000028050	BC091096.1
ENSXETG00000028049	BC087806.1
ENSXETG00000028048	
ENSXETG00000028047	BC089236.1
ENSXETG00000023068	SAPS2
ENSXETG00000023079	SBF1
ENSXETG00000023087	Q5M8X0_XENTR
ENSXETG00000023089	Q569N7_XENTR
ENSXETG00000023090	TEgg019e13.1
ENSXETG00000012294	
ENSXETG00000005884	
ENSXETG00000005885	
ENSXETG00000005886	
ENSXETG00000005888	
ENSXETG00000011467	RPH3A
ENSXETG00000005889	
ENSXETG00000005890	
ENSXETG00000028045	
ENSXETG00000011472	WSCD2
ENSXETG00000005892	
ENSXETG00000011474	CMKLR1
ENSXETG00000005896	
ENSXETG00000028044	C12orf49
ENSXETG00000011475	RNFT2
ENSXETG00000028043	
ENSXETG00000021497	epb41l4a
ENSXETG00000028042	
ENSXETG00000028041	
ENSXETG00000015936	
ENSXETG00000021501	APC
ENSXETG00000021513	TNeu028a23.1
ENSXETG00000021514	dcp2
ENSXETG00000021515	MCC
ENSXETG00000021517	YTHDC2
ENSXETG00000021518	KCNN2
ENSXETG00000029206	xtr-mir-99
ENSXETG00000028040	
ENSXETG00000020193	
ENSXETG00000028039	ECM1
ENSXETG00000018640	TARS2
ENSXETG00000018652	RPRD2
ENSXETG00000018654	prpf3
ENSXETG00000028038	mrps21
ENSXETG00000018199	
ENSXETG00000028037	
ENSXETG00000000647	
ENSXETG00000013039	brd4
ENSXETG00000028036	
ENSXETG00000013036	
ENSXETG00000028035	TNeu106b08.1
ENSXETG00000013023	RASAL3
ENSXETG00000013018	PGLYRP2
ENSXETG00000022281	PCDH7
ENSXETG00000015353	CD53
ENSXETG00000012995	
ENSXETG00000023858	
ENSXETG00000015354	
ENSXETG00000022322	
ENSXETG00000022323	
ENSXETG00000028034	TSHB
ENSXETG00000028033	
ENSXETG00000015362	slc25a22
ENSXETG00000028032	
ENSXETG00000028031	
ENSXETG00000011715	
ENSXETG00000013855	
ENSXETG00000011177	tube1
ENSXETG00000028030	
ENSXETG00000012998	
ENSXETG00000022868	EVI5L
ENSXETG00000022865	Q4QQQ5_XENTR
ENSXETG00000022859	TNeu081m12.1
ENSXETG00000000941	
ENSXETG00000022849	
ENSXETG00000028029	asf1b
ENSXETG00000012608	
ENSXETG00000022840	LPHN1
ENSXETG00000006306	dffa
ENSXETG00000010483	
ENSXETG00000010484	
ENSXETG00000006309	PEX14
ENSXETG00000010487	
ENSXETG00000006312	CASZ1
ENSXETG00000028028	
ENSXETG00000010489	
ENSXETG00000028027	
ENSXETG00000020610	CD97
ENSXETG00000005829	
ENSXETG00000006317	tardbp
ENSXETG00000010491	pcbp3
ENSXETG00000028026	
ENSXETG00000006314	MASP2
ENSXETG00000028025	SRM
ENSXETG00000010494	ccdc16
ENSXETG00000006318	EXOSC10
ENSXETG00000010495	BAG1
ENSXETG00000006322	FRAP1
ENSXETG00000028024	
ENSXETG00000020607	ddx39
ENSXETG00000001603	
