Ensembl Gene ID	Rat Ensembl Gene ID
ENSG00000208234	
ENSG00000199674	
ENSG00000221622	
ENSG00000207604	
ENSG00000207431	
ENSG00000221312	
ENSG00000223135	
ENSG00000223136	
ENSG00000200159	
ENSG00000200131	
ENSG00000206672	
ENSG00000212552	
ENSG00000201452	
ENSG00000202016	
ENSG00000200455	
ENSG00000201916	
ENSG00000212228	
ENSG00000202261	
ENSG00000207742	
ENSG00000223137	
ENSG00000212550	
ENSG00000223138	
ENSG00000200827	
ENSG00000221638	
ENSG00000201937	
ENSG00000212205	
ENSG00000221428	
ENSG00000202470	
ENSG00000200236	
ENSG00000223139	
ENSG00000207932	
ENSG00000223140	
ENSG00000221791	
ENSG00000199102	
ENSG00000199960	
ENSG00000208013	
ENSG00000223141	
ENSG00000223142	
ENSG00000221363	
ENSG00000213177	
ENSG00000216774	
ENSG00000213194	
ENSG00000207492	
ENSG00000219252	
ENSG00000222962	
ENSG00000206963	
ENSG00000207934	
ENSG00000199814	
ENSG00000199796	
ENSG00000212450	
ENSG00000207603	
ENSG00000202474	
ENSG00000206831	
ENSG00000207331	
ENSG00000221740	
ENSG00000222963	
ENSG00000201923	
ENSG00000198928	
ENSG00000208225	
ENSG00000208227	
ENSG00000208243	
ENSG00000177117	
ENSG00000208245	
ENSG00000209219	
ENSG00000213184	
ENSG00000211401	
ENSG00000208228	
ENSG00000208229	
ENSG00000208233	
ENSG00000208235	
ENSG00000208236	
ENSG00000208237	
ENSG00000208239	
ENSG00000208240	
ENSG00000208241	
ENSG00000208385	
ENSG00000221779	
ENSG00000200714	
ENSG00000222709	
ENSG00000207578	
ENSG00000207733	
ENSG00000222710	
ENSG00000221729	
ENSG00000200942	
ENSG00000222711	
ENSG00000207347	
ENSG00000202182	
ENSG00000211393	
ENSG00000198801	
ENSG00000217834	
ENSG00000211380	
ENSG00000211374	
ENSG00000213197	
ENSG00000199910	
ENSG00000221174	
ENSG00000202503	
ENSG00000221242	
ENSG00000221231	
ENSG00000201725	
ENSG00000199476	
ENSG00000218492	
ENSG00000208403	
ENSG00000204015	
ENSG00000168768	
ENSG00000221450	
ENSG00000213144	
ENSG00000185932	
ENSG00000220842	
ENSG00000209188	
ENSG00000217453	
ENSG00000211181	
ENSG00000208242	
ENSG00000208414	
ENSG00000213183	
ENSG00000213201	
ENSG00000208244	
ENSG00000203335	
ENSG00000209248	
ENSG00000209311	
ENSG00000209149	
ENSG00000218198	
ENSG00000207574	
ENSG00000206728	
ENSG00000223082	
ENSG00000221742	
ENSG00000212604	
ENSG00000223083	
ENSG00000213158	
ENSG00000203634	
ENSG00000208246	
ENSG00000213187	
ENSG00000209206	
ENSG00000208247	
ENSG00000209300	
ENSG00000209286	
ENSG00000208446	
ENSG00000222973	
ENSG00000201088	
ENSG00000211563	
ENSG00000199458	
ENSG00000207198	
ENSG00000222974	
ENSG00000207344	
ENSG00000202231	
ENSG00000211339	
ENSG00000211330	
ENSG00000203274	
ENSG00000197815	
ENSG00000218767	
ENSG00000213165	
ENSG00000208447	
ENSG00000208251	
ENSG00000209295	
ENSG00000209195	
ENSG00000209253	
ENSG00000209153	
ENSG00000213212	
ENSG00000213188	
ENSG00000213777	
ENSG00000208255	
ENSG00000208256	
ENSG00000211425	
ENSG00000211165	
ENSG00000208258	
ENSG00000208259	
ENSG00000208254	
ENSG00000208265	
ENSG00000208257	
ENSG00000208266	
ENSG00000208270	
ENSG00000211126	
ENSG00000178029	
ENSG00000211119	
ENSG00000208460	
ENSG00000208276	
ENSG00000208279	
ENSG00000208280	
ENSG00000208281	
ENSG00000208284	
ENSG00000208285	
ENSG00000208286	
ENSG00000208287	
ENSG00000208291	
ENSG00000203635	
ENSG00000207274	
ENSG00000208500	
ENSG00000222768	
ENSG00000199528	
ENSG00000222769	
ENSG00000199373	
ENSG00000221179	
ENSG00000181399	
ENSG00000213169	
ENSG00000203275	
ENSG00000188309	
ENSG00000209274	
ENSG00000208518	
ENSG00000197300	
ENSG00000211315	
ENSG00000211279	
ENSG00000211276	
ENSG00000205433	
ENSG00000203279	
ENSG00000211435	
ENSG00000211421	
ENSG00000208537	
ENSG00000213174	
ENSG00000217213	
ENSG00000202252	
ENSG00000199231	
ENSG00000223037	
ENSG00000223038	
ENSG00000221026	
ENSG00000221548	
ENSG00000212490	
ENSG00000202027	
ENSG00000221343	
ENSG00000206988	
ENSG00000202293	
ENSG00000213222	
ENSG00000184531	
ENSG00000213178	
ENSG00000173284	
ENSG00000208349	
ENSG00000208350	
ENSG00000208360	
ENSG00000208361	
ENSG00000208365	
ENSG00000208369	
ENSG00000208372	
ENSG00000208374	
ENSG00000179843	
ENSG00000209022	
ENSG00000211409	
ENSG00000211405	
ENSG00000177590	
ENSG00000202129	
ENSG00000208308	
ENSG00000201155	
ENSG00000222530	
ENSG00000200817	
ENSG00000222531	
ENSG00000222532	
ENSG00000221437	
ENSG00000222533	
ENSG00000202247	
ENSG00000201318	
ENSG00000200832	
ENSG00000206869	
ENSG00000201690	
ENSG00000202538	
ENSG00000206964	
ENSG00000222534	
ENSG00000202343	
ENSG00000207790	
ENSG00000213205	
ENSG00000204443	
ENSG00000204445	
ENSG00000208274	
ENSG00000213156	
ENSG00000208277	
ENSG00000208278	
ENSG00000213227	
ENSG00000211066	
ENSG00000211058	
ENSG00000208391	
ENSG00000208396	
ENSG00000208397	
ENSG00000208417	
ENSG00000208420	
ENSG00000208422	
ENSG00000185790	
ENSG00000208599	
ENSG00000213225	
ENSG00000208609	
ENSG00000208613	
ENSG00000213228	
ENSG00000211087	
ENSG00000219585	
ENSG00000220099	
ENSG00000211027	
ENSG00000208292	
ENSG00000208293	
ENSG00000213211	
ENSG00000208423	
ENSG00000208625	
ENSG00000213210	
ENSG00000208301	
ENSG00000210472	
ENSG00000221139	
ENSG00000207312	
ENSG00000222429	
ENSG00000199402	
ENSG00000211558	
ENSG00000206933	
ENSG00000206908	
ENSG00000207481	
ENSG00000208626	
ENSG00000200792	
ENSG00000200097	
ENSG00000223297	
ENSG00000223298	
ENSG00000207472	
ENSG00000223299	
ENSG00000201666	
ENSG00000206765	
ENSG00000199130	
ENSG00000212340	
ENSG00000207599	
ENSG00000223300	
ENSG00000207136	
ENSG00000215973	
ENSG00000221590	
ENSG00000202297	
ENSG00000201566	
ENSG00000223301	
ENSG00000221686	
ENSG00000221578	
ENSG00000207434	
ENSG00000211996	
ENSG00000222924	
ENSG00000199282	
ENSG00000222925	
ENSG00000206944	
ENSG00000176366	
ENSG00000203337	
ENSG00000208315	
ENSG00000208651	
ENSG00000203339	
ENSG00000221006	
ENSG00000199962	
ENSG00000207397	
ENSG00000200502	
ENSG00000212057	
ENSG00000223113	
ENSG00000206600	
ENSG00000223114	
ENSG00000211556	
ENSG00000211548	
ENSG00000208319	
ENSG00000179487	
ENSG00000208457	
ENSG00000211363	
ENSG00000211357	
ENSG00000210961	
ENSG00000210940	
ENSG00000218248	
ENSG00000211344	
ENSG00000211773	
ENSG00000211771	
ENSG00000211770	
ENSG00000211769	
ENSG00000211768	
ENSG00000211766	
ENSG00000211765	
ENSG00000211210	
ENSG00000211764	
ENSG00000211759	
ENSG00000211758	
ENSG00000208489	
ENSG00000211756	
ENSG00000211754	
ENSG00000211294	
ENSG00000211287	
ENSG00000211751	
ENSG00000211747	
ENSG00000211053	
ENSG00000211277	
ENSG00000211274	
ENSG00000211267	
ENSG00000211743	
ENSG00000211742	
ENSG00000211741	
ENSG00000200719	
ENSG00000211738	
ENSG00000211737	
ENSG00000211736	
ENSG00000211735	
ENSG00000211734	
ENSG00000211733	
ENSG00000211731	
ENSG00000211729	
ENSG00000211727	
ENSG00000211725	
ENSG00000179724	
ENSG00000208524	
ENSG00000208526	
ENSG00000211180	
ENSG00000208529	
ENSG00000211178	
ENSG00000208534	
ENSG00000211722	
ENSG00000211719	
ENSG00000211718	
ENSG00000211717	
ENSG00000179640	
ENSG00000211716	
ENSG00000211713	
ENSG00000211712	
ENSG00000209093	
ENSG00000211234	
ENSG00000208539	
ENSG00000208541	
ENSG00000208713	
ENSG00000211710	
ENSG00000211709	
ENSG00000211708	
ENSG00000211707	
ENSG00000211706	
ENSG00000197862	
ENSG00000211166	
ENSG00000211704	
ENSG00000211703	
ENSG00000213234	
ENSG00000210853	
ENSG00000208334	
ENSG00000181676	
ENSG00000208545	
ENSG00000208363	
ENSG00000208367	
ENSG00000208551	
ENSG00000217362	
ENSG00000211113	
ENSG00000208756	
ENSG00000200710	
ENSG00000207385	
ENSG00000221274	
ENSG00000206639	
ENSG00000213035	
ENSG00000208760	
ENSG00000208565	
ENSG00000196205	
ENSG00000208585	
ENSG00000208589	
ENSG00000208594	
ENSG00000208598	
ENSG00000211275	
ENSG00000213216	
ENSG00000208611	
ENSG00000208615	
ENSG00000211589	
ENSG00000206976	
ENSG00000208514	
ENSG00000208621	
ENSG00000203334	
ENSG00000208395	
ENSG00000208424	
ENSG00000220939	
ENSG00000216046	
ENSG00000201660	
ENSG00000202334	
ENSG00000200406	
ENSG00000201440	
ENSG00000202260	
ENSG00000222907	
ENSG00000207583	
ENSG00000222908	
ENSG00000206958	
ENSG00000212396	
ENSG00000207575	
ENSG00000200648	
ENSG00000222909	
ENSG00000199652	
ENSG00000202152	
ENSG00000200822	
ENSG00000202263	
ENSG00000199715	
ENSG00000221585	
ENSG00000201080	
ENSG00000206905	
ENSG00000221032	
ENSG00000216144	
ENSG00000222910	
ENSG00000199468	
ENSG00000222911	
ENSG00000222912	
ENSG00000215944	
ENSG00000222913	
ENSG00000221589	
ENSG00000222914	
ENSG00000199855	
ENSG00000202251	
ENSG00000221441	
ENSG00000202422	
ENSG00000221748	
ENSG00000201818	
ENSG00000222915	
ENSG00000201441	
ENSG00000222916	
ENSG00000216102	
ENSG00000221043	
ENSG00000212321	
ENSG00000213252	
ENSG00000208535	
ENSG00000210186	
ENSG00000210172	
ENSG00000181814	
ENSG00000219415	
